metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name,curated_metric,sample_tags
aerospike.latencies.batch_index_ms_bucket,gauge,,,,Defines the number of queries in a specific bucket during batch index operation.,0,aerospike,batch_index_ms_bucket,,
aerospike.latencies.batch_index_ms_count,gauge,,,,Defines overall the number of queries in all bucket during batch index operations.,0,aerospike,batch_index_ms_count,,
aerospike.latencies.batch_sub_read_ms_bucket,gauge,,,,Defines the number of queries in a specific bucket during batch sub read operations.,0,aerospike,batch_sub_read_ms_bucket,,
aerospike.latencies.batch_sub_read_ms_count,gauge,,,,Defines overall the number of queries in all bucket during batch sub read operations.,0,aerospike,batch_sub_read_ms_count,,
aerospike.latencies.batch_sub_write_ms_bucket,gauge,,,,Defines the number of queries in a specific bucket during batch sub write operation.,0,aerospike,batch_sub_write_ms_bucket,,
aerospike.latencies.batch_sub_write_ms_count,gauge,,,,Defines overall the number of queries in all bucket during batch sub write operations.,0,aerospike,batch_sub_write_ms_count,,
aerospike.latencies.read_ms_bucket,gauge,,,,Defines the number of queries in a bucket taking N milliseconds.,0,aerospike,read_ms_bucket,,
aerospike.latencies.read_ms_count,gauge,,,,Defines the number of queries in a bucket taking N milliseconds.,0,aerospike,read_ms_count,,
aerospike.latencies.write_ms_bucket,gauge,,,,Defines the number of queries in a bucket taking N milliseconds.,0,aerospike,write_ms_bucket,,
aerospike.latencies.write_ms_count,gauge,,,,Defines the number of queries in a bucket taking N milliseconds.,0,aerospike,write_ms_count,,
aerospike.namespace.active_rack,gauge,,,,Active rack configuration.,0,aerospike,active_rack,,
aerospike.namespace.allow_ttl_without_nsup,gauge,,,,Whether NSUP works without configuring TTL.,0,aerospike,allow_ttl_without_nsup,,
aerospike.namespace.allow_xdr_writes,gauge,,,,A parameter to control whether to accept write transactions originating from an XDR client.,0,aerospike,allow_xdr_writes,,
aerospike.namespace.appeals_records_exonerated,gauge,,record,,Number of records that were marked replicated as result of an appeal. Partition appeals occur for namespaces operating under the strong-consistency mode when a node needs to validate the records it has when joining the cluster.,0,aerospike,appeals_records_exonerated,,
aerospike.namespace.appeals_rx_active,gauge,,,,Number of partition appeals currently being received. Partition appeals occur for namespaces operating under the strong-consistency mode when a node needs to validate the records it has when joining the cluster.,0,aerospike,appeals_rx_active,,
aerospike.namespace.appeals_tx_active,gauge,,,,Number of partition appeals not yet sent. Partition appeals occur for namespaces operating under the strong-consistency mode when a node needs to validate the records it has when joining the cluster.,0,aerospike,appeals_tx_active,,
aerospike.namespace.appeals_tx_remaining,gauge,,,,Number of partition appeals currently being sent.,0,aerospike,appeals_tx_remaining,,
aerospike.namespace.auto_revive,gauge,,,,Selectively revives partitions in SC namespaces at startup.,0,aerospike,auto_revive,,
aerospike.namespace.auto_revived_partitions,gauge,,,,Number of partitions that the auto-revive feature revived at startup.,0,aerospike,auto_revived_partitions,,
aerospike.namespace.batch_sub_delete_error,gauge,,,,Number of batch-index delete subtransactions that failed with an error.,0,aerospike,batch_sub_delete_error,,
aerospike.namespace.batch_sub_delete_filtered_out,gauge,,,,Number of batch-index delete subtransactions that did not happen because the record was filtered out with Filter Expressions.,0,aerospike,batch_sub_delete_filtered_out,,
aerospike.namespace.batch_sub_delete_not_found,gauge,,,,Number of batch-index delete subtransactions that resulted in not found.,0,aerospike,batch_sub_delete_not_found,,
