metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name,curated_metric
akeyless.gw.system.cpu,gauge,,,,CPU utilization metrics.,0,akeyless_gateway,,
akeyless.gw.system.disk,gauge,,,,Disk I/O metrics.,0,akeyless_gateway,,
akeyless.gw.system.load,gauge,,,,CPU load metrics.,0,akeyless_gateway,,
akeyless.gw.system.memory,gauge,,,,Memory utilization metrics.,0,akeyless_gateway,,
akeyless.gw.system.network,gauge,,,,Network interface I/O metrics and TCP connection metrics.,0,akeyless_gateway,,
akeyless.gw.quota.current_transactions_number,gauge,,,,Current transaction number.,0,akeyless_gateway,,
akeyless.gw.quota.gw_admin_client_transactions,gauge,,,,Total transaction by an admin client.,0,akeyless_gateway,,
akeyless.gw.quota.total_transactions_limit,gauge,,,,Total transaction limit per hour.,0,akeyless_gateway,,
akeyless.gw.system.http_response_status_code,gauge,,,,Status of the HTTP response.,0,akeyless_gateway,,
akeyless.gw.system.request_count,gauge,,,,Total number of requests.,0,akeyless_gateway,,
