metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name,curated_metric,sample_tags
authzed.cockroachdb.capacity_available,gauge,,byte_in_decimal_bytes_family,,Remaining available capacity,1,authzed,authzed.cockroachdb.capacity_available,,
authzed.cockroachdb.database_connections,gauge,,connection,,Open connections,0,authzed,authzed.cockroachdb.database_connections,,
authzed.cockroachdb.read_iops,count,,operation,,Read IOPS,0,authzed,authzed.cockroachdb.read_iops,,
authzed.cockroachdb.read_throughput,count,,byte_in_decimal_bytes_family,,Read throughput,0,authzed,authzed.cockroachdb.read_throughput,,
authzed.cockroachdb.request_latency_sum,count,,nanosecond,,Request latency,-1,authzed,authzed.cockroachdb.request_latency,,
authzed.cockroachdb.request_latency_bucket,count,,nanosecond,,Request latency,-1,authzed,authzed.cockroachdb.request_latency,,
authzed.cockroachdb.request_latency_count,count,,nanosecond,,Request latency,-1,authzed,authzed.cockroachdb.request_latency,,
authzed.cockroachdb.system_cpu_usage,gauge,,percent,,CPU usage as a percentage of available CPU,0,authzed,authzed.cockroachdb.system_cpu_usage,,
authzed.cockroachdb.write_iops,count,,operation,,Write IOPS,0,authzed,authzed.cockroachdb.write_iops,,
authzed.cockroachdb.write_throughput,count,,byte_in_decimal_bytes_family,,Write throughput,0,authzed,authzed.cockroachdb.write_throughput,,
authzed.fgam.config_entities,gauge,,item,,The number of FGAM configurations currently active,0,authzed,authzed.fgam.config_entities,,
authzed.grpc.server_handled,count,,request,,"Total number of RPCs completed on the server, regardless of success or failure.",0,authzed,authzed.grpc.server_handled,,
authzed.grpc.server_handling_sum,count,,second,,Distribution of response latency (seconds) of gRPC calls that had been handled by the server.,0,authzed,authzed.grpc.server_handling,,
authzed.grpc.server_handling_bucket,count,,second,,Distribution of response latency (seconds) of gRPC calls that had been handled by the server.,0,authzed,authzed.grpc.server_handling,,
authzed.grpc.server_handling_count,count,,second,,Distribution of response latency (seconds) of gRPC calls that had been handled by the server.,0,authzed,authzed.grpc.server_handling,,
authzed.grpc.server_msg_received,count,,request,,Total number of RPC messages received on the server.,0,authzed,authzed.grpc.server_msg_received,,
