metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name
aws.pricing.awsamplify,gauge,,,,The cost of awsamplify per unit.,0,aws_pricing,awsamplify pricing
aws.pricing.awsappsync,gauge,,,,The cost of awsappsync per unit.,0,aws_pricing,awsappsync pricing
aws.pricing.awsbackup,gauge,,,,The cost of awsbackup per unit.,0,aws_pricing,awsbackup pricing
aws.pricing.awsbudgets,gauge,,,,The cost of awsbudgets per unit.,0,aws_pricing,awsbudgets pricing
aws.pricing.awscertificatemanager,gauge,,,,The cost of awscertificatemanager per unit.,0,aws_pricing,awscertificatemanager pricing
aws.pricing.awscloudmap,gauge,,,,The cost of awscloudmap per unit.,0,aws_pricing,awscloudmap pricing
aws.pricing.awscloudtrail,gauge,,,,The cost of awscloudtrail per unit.,0,aws_pricing,awscloudtrail pricing
aws.pricing.awscodecommit,gauge,,,,The cost of awscodecommit per unit.,0,aws_pricing,awscodecommit pricing
aws.pricing.awscodedeploy,gauge,,,,The cost of awscodedeploy per unit.,0,aws_pricing,awscodedeploy pricing
aws.pricing.awscodepipeline,gauge,,,,The cost of awscodepipeline per unit.,0,aws_pricing,awscodepipeline pricing
aws.pricing.awsconfig,gauge,,,,The cost of awsconfig per unit.,0,aws_pricing,awsconfig pricing
aws.pricing.awscostexplorer,gauge,,,,The cost of awscostexplorer per unit.,0,aws_pricing,awscostexplorer pricing
aws.pricing.awsdatasync,gauge,,,,The cost of awsdatasync per unit.,0,aws_pricing,awsdatasync pricing
aws.pricing.awsdatatransfer,gauge,,,,The cost of awsdatatransfer per unit.,0,aws_pricing,awsdatatransfer pricing
aws.pricing.awsdatabasemigrationsvc,gauge,,,,The cost of awsdatabasemigrationsvc per unit.,0,aws_pricing,awsdatabasemigrationsvc pricing
aws.pricing.awsdevelopersupport,gauge,,,,The cost of awsdevelopersupport per unit.,0,aws_pricing,awsdevelopersupport pricing
aws.pricing.awsdevicefarm,gauge,,,,The cost of awsdevicefarm per unit.,0,aws_pricing,awsdevicefarm pricing
aws.pricing.awsdirectconnect,gauge,,,,The cost of awsdirectconnect per unit.,0,aws_pricing,awsdirectconnect pricing
aws.pricing.awsdirectoryservice,gauge,,,,The cost of awsdirectoryservice per unit.,0,aws_pricing,awsdirectoryservice pricing
aws.pricing.awselementalmediaconvert,gauge,,,,The cost of awselementalmediaconvert per unit.,0,aws_pricing,awselementalmediaconvert pricing
aws.pricing.awselementalmedialive,gauge,,,,The cost of awselementalmedialive per unit.,0,aws_pricing,awselementalmedialive pricing
aws.pricing.awselementalmediapackage,gauge,,,,The cost of awselementalmediapackage per unit.,0,aws_pricing,awselementalmediapackage pricing
aws.pricing.awselementalmediastore,gauge,,,,The cost of awselementalmediastore per unit.,0,aws_pricing,awselementalmediastore pricing
aws.pricing.awselementalmediatailor,gauge,,,,The cost of awselementalmediatailor per unit.,0,aws_pricing,awselementalmediatailor pricing
aws.pricing.awsevents,gauge,,,,The cost of awsevents per unit.,0,aws_pricing,awsevents pricing
aws.pricing.awsfms,gauge,,,,The cost of awsfms per unit.,0,aws_pricing,awsfms pricing
aws.pricing.awsglue,gauge,,,,The cost of awsglue per unit.,0,aws_pricing,awsglue pricing
aws.pricing.awsgreengrass,gauge,,,,The cost of awsgreengrass per unit.,0,aws_pricing,awsgreengrass pricing
aws.pricing.awsiot1click,gauge,,,,The cost of awsiot1click per unit.,0,aws_pricing,awsiot1click pricing
aws.pricing.awsiotanalytics,gauge,,,,The cost of awsiotanalytics per unit.,0,aws_pricing,awsiotanalytics pricing
aws.pricing.awsiot,gauge,,,,The cost of awsiot per unit.,0,aws_pricing,awsiot pricing
aws.pricing.awslambda,gauge,,,,The cost of awslambda per unit.,0,aws_pricing,awslambda pricing
aws.pricing.awsmediaconnect,gauge,,,,The cost of awsmediaconnect per unit.,0,aws_pricing,awsmediaconnect pricing
aws.pricing.awsqueueservice,gauge,,,,The cost of awsqueueservice per unit.,0,aws_pricing,awsqueueservice pricing
aws.pricing.awsrobomaker,gauge,,,,The cost of awsrobomaker per unit.,0,aws_pricing,awsrobomaker pricing
aws.pricing.awssecretsmanager,gauge,,,,The cost of awssecretsmanager per unit.,0,aws_pricing,awssecretsmanager pricing
aws.pricing.awsservicecatalog,gauge,,,,The cost of awsservicecatalog per unit.,0,aws_pricing,awsservicecatalog pricing
aws.pricing.awsshield,gauge,,,,The cost of awsshield per unit.,0,aws_pricing,awsshield pricing
aws.pricing.awsstoragegatewaydeeparchive,gauge,,,,The cost of awsstoragegatewaydeeparchive per unit.,0,aws_pricing,awsstoragegatewaydeeparchive pricing
