metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name
Bind.opcode_QUERY,gauge,,,,,,,
Bind.opcode_IQUERY,gauge,,,,,,,
Bind.opcode_STATUS,gauge,,,,,,,
Bind.opcode_RESERVED3,gauge,,,,,,,
Bind.opcode_NOTIFY,gauge,,,,,,,
Bind.opcode_UPDATE,gauge,,,,,,,
Bind.opcode_RESERVED6,gauge,,,,,,,
Bind.opcode_RESERVED7,gauge,,,,,,,
Bind.opcode_RESERVED8,gauge,,,,,,,
Bind.opcode_RESERVED9,gauge,,,,,,,
Bind.opcode_RESERVED10,gauge,,,,,,,
Bind.opcode_RESERVED11,gauge,,,,,,,
Bind.opcode_RESERVED12,gauge,,,,,,,
Bind.opcode_RESERVED13,gauge,,,,,,,
Bind.opcode_RESERVED14,gauge,,,,,,,
Bind.opcode_RESERVED15,gauge,,,,,,,
Bind.nsstat_Requestv4,gauge,,,,,,,
Bind.nsstat_Requestv6,gauge,,,,,,,
Bind.nsstat_ReqEdns0,gauge,,,,,,,
Bind.nsstat_ReqBadEDNSVer,gauge,,,,,,,
Bind.nsstat_ReqTSIG,gauge,,,,,,,
Bind.nsstat_ReqSIG0,gauge,,,,,,,
Bind.nsstat_ReqBadSIG,gauge,,,,,,,
Bind.nsstat_ReqTCP,gauge,,,,,,,
Bind.nsstat_AuthQryRej,gauge,,,,,,,
Bind.nsstat_RecQryRej,gauge,,,,,,,
Bind.nsstat_XfrRej,gauge,,,,,,,
Bind.nsstat_UpdateRej,gauge,,,,,,,
Bind.nsstat_Response,gauge,,,,,,,
Bind.nsstat_TruncatedResp,gauge,,,,,,,
Bind.nsstat_RespEDNS0,gauge,,,,,,,
Bind.nsstat_RespTSIG,gauge,,,,,,,
Bind.nsstat_RespSIG0,gauge,,,,,,,
Bind.nsstat_QrySuccess,gauge,,,,,,,
Bind.nsstat_QryAuthAns,gauge,,,,,,,
Bind.nsstat_QryNoauthAns,gauge,,,,,,,
Bind.nsstat_QryReferral,gauge,,,,,,,
Bind.nsstat_QryNxrrset,gauge,,,,,,,
Bind.nsstat_QrySERVFAIL,gauge,,,,,,,
Bind.nsstat_QryFORMERR,gauge,,,,,,,
Bind.nsstat_QryNXDOMAIN,gauge,,,,,,,
Bind.nsstat_QryRecursion,gauge,,,,,,,
Bind.nsstat_QryDuplicate,gauge,,,,,,,
Bind.nsstat_QryDropped,gauge,,,,,,,
Bind.nsstat_QryFailure,gauge,,,,,,,
Bind.nsstat_XfrReqDone,gauge,,,,,,,
Bind.nsstat_UpdateReqFwd,gauge,,,,,,,
Bind.nsstat_UpdateRespFwd,gauge,,,,,,,
Bind.nsstat_UpdateFwdFail,gauge,,,,,,,
Bind.nsstat_UpdateDone,gauge,,,,,,,
Bind.nsstat_UpdateFail,gauge,,,,,,,
Bind.nsstat_UpdateBadPrereq,gauge,,,,,,,
Bind.nsstat_RecursClients,gauge,,,,,,,
Bind.nsstat_DNS64,gauge,,,,,,,
Bind.nsstat_RateDropped,gauge,,,,,,,
Bind.nsstat_RateSlipped,gauge,,,,,,,
Bind.nsstat_RPZRewrites,gauge,,,,,,,
Bind.nsstat_QryUDP,gauge,,,,,,,
Bind.nsstat_QryTCP,gauge,,,,,,,
Bind.nsstat_NSIDOpt,gauge,,,,,,,
Bind.nsstat_ExpireOpt,gauge,,,,,,,
Bind.nsstat_OtherOpt,gauge,,,,,,,
Bind.nsstat_SitOpt,gauge,,,,,,,
Bind.nsstat_SitNew,gauge,,,,,,,
Bind.nsstat_SitBadSize,gauge,,,,,,,
Bind.nsstat_SitBadTime,gauge,,,,,,,
Bind.nsstat_SitNoMatch,gauge,,,,,,,
Bind.nsstat_SitMatch,gauge,,,,,,,
Bind.zonestat_NotifyOutv4,gauge,,,,,,,
Bind.zonestat_NotifyOutv6,gauge,,,,,,,
Bind.zonestat_NotifyInv4,gauge,,,,,,,
Bind.zonestat_NotifyInv6,gauge,,,,,,,
Bind.zonestat_NotifyRej,gauge,,,,,,,
Bind.zonestat_SOAOutv4,gauge,,,,,,,
Bind.zonestat_SOAOutv6,gauge,,,,,,,
Bind.zonestat_AXFRReqv4,gauge,,,,,,,
Bind.zonestat_AXFRReqv6,gauge,,,,,,,
Bind.zonestat_IXFRReqv4,gauge,,,,,,,
Bind.zonestat_IXFRReqv6,gauge,,,,,,,
Bind.zonestat_XfrSuccess,gauge,,,,,,,
Bind.zonestat_XfrFail,gauge,,,,,,,
Bind.sockstat_UDP4Open,gauge,,,,,,,
Bind.sockstat_UDP6Open,gauge,,,,,,,
Bind.sockstat_TCP4Open,gauge,,,,,,,
Bind.sockstat_TCP6Open,gauge,,,,,,,
Bind.sockstat_UnixOpen,gauge,,,,,,,
Bind.sockstat_RawOpen,gauge,,,,,,,
Bind.sockstat_UDP4OpenFail,gauge,,,,,,,
Bind.sockstat_UDP6OpenFail,gauge,,,,,,,
Bind.sockstat_TCP4OpenFail,gauge,,,,,,,
Bind.sockstat_TCP6OpenFail,gauge,,,,,,,
Bind.sockstat_UnixOpenFail,gauge,,,,,,,
Bind.sockstat_RawOpenFail,gauge,,,,,,,
Bind.sockstat_UDP4Close,gauge,,,,,,,
Bind.sockstat_UDP6Close,gauge,,,,,,,
Bind.sockstat_TCP4Close,gauge,,,,,,,
Bind.sockstat_TCP6Close,gauge,,,,,,,
Bind.sockstat_UnixClose,gauge,,,,,,,
Bind.sockstat_FDWatchClose,gauge,,,,,,,
Bind.sockstat_RawClose,gauge,,,,,,,
Bind.sockstat_UDP4BindFail,gauge,,,,,,,
Bind.sockstat_UDP6BindFail,gauge,,,,,,,
Bind.sockstat_TCP4BindFail,gauge,,,,,,,
Bind.sockstat_TCP6BindFail,gauge,,,,,,,
Bind.sockstat_UnixBindFail,gauge,,,,,,,
Bind.sockstat_FdwatchBindFail,gauge,,,,,,,
Bind.sockstat_UDP4ConnFail,gauge,,,,,,,
Bind.sockstat_UDP6ConnFail,gauge,,,,,,,
Bind.sockstat_TCP4ConnFail,gauge,,,,,,,
Bind.sockstat_TCP6ConnFail,gauge,,,,,,,
Bind.sockstat_UnixConnFail,gauge,,,,,,,
Bind.sockstat_FDwatchConnFail,gauge,,,,,,,
Bind.sockstat_UDP4Conn,gauge,,,,,,,
Bind.sockstat_UDP6Conn,gauge,,,,,,,
Bind.sockstat_TCP4Conn,gauge,,,,,,,
Bind.sockstat_TCP6Conn,gauge,,,,,,,
Bind.sockstat_UnixConn,gauge,,,,,,,
Bind.sockstat_FDwatchConn,gauge,,,,,,,
Bind.sockstat_TCP4AcceptFail,gauge,,,,,,,
Bind.sockstat_TCP6AcceptFail,gauge,,,,,,,
Bind.sockstat_UnixAcceptFail,gauge,,,,,,,
Bind.sockstat_TCP4Accept,gauge,,,,,,,
Bind.sockstat_TCP6Accept,gauge,,,,,,,
Bind.sockstat_UnixAccept,gauge,,,,,,,
Bind.sockstat_UDP4SendErr,gauge,,,,,,,
Bind.sockstat_UDP6SendErr,gauge,,,,,,,
Bind.sockstat_TCP4SendErr,gauge,,,,,,,
Bind.sockstat_TCP6SendErr,gauge,,,,,,,
Bind.sockstat_UnixSendErr,gauge,,,,,,,
Bind.sockstat_FDwatchSendErr,gauge,,,,,,,
Bind.sockstat_UDP4RecvErr,gauge,,,,,,,
Bind.sockstat_UDP6RecvErr,gauge,,,,,,,
Bind.sockstat_TCP4RecvErr,gauge,,,,,,,
Bind.sockstat_TCP6RecvErr,gauge,,,,,,,
Bind.sockstat_UnixRecvErr,gauge,,,,,,,
Bind.sockstat_FDwatchRecvErr,gauge,,,,,,,
