metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name,curated_metric
bottomline.mainframe.activity.type,,,,,"Type of activity: login, resource access, etc.",1,bottomline_mainframe,,
bottomline.mainframe.activity.resource.code,,,,,Resource identifier,1,bottomline_mainframe,,
bottomline.mainframe.activity.resource.name,,,,,Resource name,1,bottomline_mainframe,,
bottomline.mainframe.activity.resource.duration,,,nanosecond,,Resource time to load in nanoseconds,1,bottomline_mainframe,,
bottomline.mainframe.activity.message,,,,,Activity message,1,bottomline_mainframe,,
bottomline.mainframe.activity.timestamp,,,,,Timestamp of activity,1,bottomline_mainframe,,
bottomline.mainframe.activity.customer.id,,,,,Customer id,1,bottomline_mainframe,,
bottomline.mainframe.activity.account.id,,,,,Account id,1,bottomline_mainframe,,
bottomline.mainframe.activity.reference,,,,,Reference,1,bottomline_mainframe,,
bottomline.mainframe.activity.money.amount,,,,,Amount,1,bottomline_mainframe,,
bottomline.mainframe.activity.money.destination,,,,,Destination account,1,bottomline_mainframe,,
bottomline.mainframe.activity.money.source,,,,,Source account,1,bottomline_mainframe,,
bottomline.mainframe.activity.money.reference,,,,,Reference for money transaction,1,bottomline_mainframe,,
bottomline.mainframe.activity.money.destination.currency,,,,,Destination curency,1,bottomline_mainframe,,
bottomline.mainframe.activity.money.source.currency,,,,,Source currency,1,bottomline_mainframe,,
bottomline.mainframe.activity.network.client.ip,,,,,User IP address,1,bottomline_mainframe,,
bottomline.mainframe.activity.network.destination.ip,,,,,Server IP address,1,bottomline_mainframe,,
bottomline.mainframe.activity.usr.id,,,,,User id,1,bottomline_mainframe,,
datadog.marketplace.bottomline.mainframe.activity.usr.id.count,,,,,User id,1,bottomline_mainframe,,
bottomline.mainframe.activity.usr.duration,,,nanosecond,,User response time in nanoseconds,1,bottomline_mainframe,,
bottomline.mainframe.activity.usr.action,,,,,User action key,1,bottomline_mainframe,,
bottomline.mainframe.activity.session.id,,,,,Session Id,1,bottomline_mainframe,,
bottomline.mainframe.activity.session.replay,,,,,URL for session replay,1,bottomline_mainframe,,
bottomline.mainframe.activity.session.step,,,,,Step number of where the activity occurred in the session,1,bottomline_mainframe,,
bottomline.mainframe.activity.session.type,,,,,Type of session,1,bottomline_mainframe,,
bottomline.mainframe.activity.session.source,,,,,Session source,1,bottomline_mainframe,,
bottomline.mainframe.activity.session.timezone,,,,,Timezone of the session,1,bottomline_mainframe,,
