metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name,curated_metric
celerdata.fe.connection_total,gauge,,,,Total number of connections,0,celerdata,,
celerdata.fe.database_num,gauge,,,,Counter of databases,0,celerdata,,
celerdata.fe.edit_log_read.count,count,,,,Counter for edit logs read from bdbje,0,celerdata,,
celerdata.fe.edit_log_size_bytes.count,count,,,,Size of the edit logs,0,celerdata,,
celerdata.fe.edit_log_write.count,count,,,,Counter for edit logs written into bdbje,0,celerdata,,
celerdata.fe.editlog_stacked_num,gauge,,,,Counter for edit logs that are stacked,0,celerdata,,
celerdata.fe.editlog_write_latency_ms.count,count,,,,,0,celerdata,,
celerdata.fe.editlog_write_latency_ms.quantile,gauge,,,,,0,celerdata,,
celerdata.fe.editlog_write_latency_ms.sum,count,,,,,0,celerdata,,
celerdata.fe.http_connections_num.count,count,,,,The current number of established HTTP connections,0,celerdata,,
celerdata.fe.http_handling_requests_num.count,count,,,,The number of HTTP requests currently being handled,0,celerdata,,
celerdata.fe.http_request_handle_latency_ms.count,count,,,,,0,celerdata,,
celerdata.fe.http_request_handle_latency_ms.quantile,gauge,,,,,0,celerdata,,
celerdata.fe.http_request_handle_latency_ms.sum,count,,,,,0,celerdata,,
celerdata.fe.http_worker_pending_tasks_num,gauge,,,,The number of tasks pending for processing in the queues of HTTP workers,0,celerdata,,
celerdata.fe.http_workers_num,gauge,,,,The number of HTTP workers,0,celerdata,,
celerdata.fe.image_push.count,count,,,,Counter for images successfully pushed to other frontends,0,celerdata,,
celerdata.fe.image_write.count,count,,,,Counter for images generated,0,celerdata,,
celerdata.fe.job,gauge,,,,Statistics of jobs,0,celerdata,,
celerdata.fe.journal.max_journal_id,gauge,,,,The maximum journal ID of these frontends,0,celerdata,,
celerdata.fe.journal.write_batch.count,count,,,,,0,celerdata,,
celerdata.fe.journal.write_batch.quantile,gauge,,,,,0,celerdata,,
celerdata.fe.journal.write_batch.sum,count,,,,,0,celerdata,,
celerdata.fe.journal.write_bytes.count,count,,,,,0,celerdata,,
celerdata.fe.journal.write_bytes.quantile,gauge,,,,,0,celerdata,,
celerdata.fe.journal.write_bytes.sum,count,,,,,0,celerdata,,
celerdata.fe.journal.write_latency_ms.count,count,,,,,0,celerdata,,
celerdata.fe.journal.write_latency_ms.quantile,gauge,,,,,0,celerdata,,
celerdata.fe.journal.write_latency_ms.sum,count,,,,,0,celerdata,,
celerdata.fe.load_add.count,count,,,,Total number of load submissions,0,celerdata,,
celerdata.fe.load_finished.count,count,,,,Total number of loads finished,0,celerdata,,
celerdata.fe.max_tablet_compaction_score,gauge,,,,Maximum tablet compaction score across all backends,0,celerdata,,
celerdata.fe.memory,gauge,,,,Counter of tablets,0,celerdata,,
celerdata.fe.meta_log_count,gauge,,,,Total count of meta logs,0,celerdata,,
celerdata.fe.qps,gauge,,,,Queries executed per second,0,celerdata,,
celerdata.fe.query.err_rate,gauge,,,,Rate of query errors,0,celerdata,,
celerdata.fe.query.err.count,count,,,,Total number of error queries,0,celerdata,,
celerdata.fe.query.latency,gauge,,,,Average latency of queries,0,celerdata,,
celerdata.fe.query.latency_ms.count,count,,,,,0,celerdata,,
celerdata.fe.query.latency_ms.quantile,gauge,,,,,0,celerdata,,
celerdata.fe.query.latency_ms.sum,count,,,,,0,celerdata,,
celerdata.fe.query.queue_pending.count,count,,,,Total number of pending queries,0,celerdata,,
celerdata.fe.query.queue_timeout.count,count,,,,Total number of timeout queries in queue history,0,celerdata,,
celerdata.fe.query.queue.count,count,,,,Total number of queries queued in history,0,celerdata,,
celerdata.fe.query.resource_group.count,count,,,,Group of resources for queries,0,celerdata,,
celerdata.fe.query.resource_group_err.count,count,,,,Group of resources for error queries,0,celerdata,,
celerdata.fe.query.success.count,count,,,,Total number of successful queries,0,celerdata,,
celerdata.fe.query.timeout.count,count,,,,Total number of timeout queries,0,celerdata,,
celerdata.fe.query.count,count,,,,Counter number of queries,0,celerdata,,
celerdata.fe.report_queue_size,gauge,,,,Size of the report queue,0,celerdata,,
celerdata.fe.request.count,count,,,,Total number of requests,0,celerdata,,
celerdata.fe.routine_load.error_rows.count,count,,,,Total number of error rows in routine load,0,celerdata,,
celerdata.fe.routine_load.jobs,gauge,,,,Jobs related to routine load,0,celerdata,,
celerdata.fe.routine_load.paused.count,count,,,,Counter for routine loads that are paused,0,celerdata,,
celerdata.fe.routine_load.receive_bytes.count,count,,,,Total bytes received in routine load,0,celerdata,,
celerdata.fe.routine_load.rows.count,count,,,,Total number of rows in routine load,0,celerdata,,
celerdata.fe.rps,gauge,,,,Requests received per second,0,celerdata,,
celerdata.fe.safe_mode,gauge,,,,Flag indicating safe mode,0,celerdata,,
celerdata.fe.scheduled_tablet_num,gauge,,,,Number of tablets that are being scheduled,0,celerdata,,
celerdata.fe.shortcircuit_latency_ms.count,count,,,,,0,celerdata,,
celerdata.fe.shortcircuit_latency_ms.quantile,gauge,,,,,0,celerdata,,
celerdata.fe.shortcircuit_latency_ms.sum,count,,,,,0,celerdata,,
