Metric Name,Type,Description
crdb_dedicated.addsstable.applications,(count),Number of SSTable ingestions applied (i.e. applied by Replicas). Shown as operation
crdb_dedicated.addsstable.copies,(count),number of SSTable ingestions that required copying files during application. Shown as operation
crdb_dedicated.addsstable.proposals,(count),Number of SSTable ingestions proposed (i.e. sent to Raft by lease holders). Shown as operation
crdb_dedicated.admission.wait.sum.kv,(count),Total wait time in micros for requests within the KV layer
crdb_dedicated.admission.wait.sum.kv.stores,(count),Total wait time in micros for write requests within the KV layer
crdb_dedicated.admission.wait.sum.sql.kv.response,(count),Total wait time in micros for responses between the KV and SQL layer
crdb_dedicated.admission.wait.sum.sql.sql.response,(count) ,Total wait time in micros for responses within the SQL layer when receiving DistSQL responses
crdb_dedicated.capacity,(gauge),Total storage capacity. Shown as byte
crdb_dedicated.capacity.available,(gauge),Available storage capacity. Shown as byte
crdb_dedicated.capacity.reserved,(gauge),Capacity reserved for snapshots. Shown as byte
crdb_dedicated.capacity.used,(gauge),Used storage capacity. Shown as byte
crdb_dedicated.changefeed.backfill.count,(gauge),Number of changefeeds currently executing backfill. Shown as count.
crdb_dedicated.changefeed.backfill.pending.ranges,(gauge),Number of ranges in an ongoing backfill that are yet to be fully emitted. Shown as count
crdb_dedicated.changefeed.commit.latency,(gauge),"Event commit latency: a difference between event MVCC timestamp and the time it was acknowledged by the downstream sink. If the sink batches events, then the difference between the oldest event in the batch and acknowledgement is recorded. Excludes latency during backfill. Shown as nanoseconds."
crdb_dedicated.changefeed.emitted.messages,(count),Messages emitted by all feeds. Shown as count.
crdb_dedicated.changefeed.error.retries,(count),Total retryable errors encountered by all changefeeds. Shown as count.
crdb_dedicated.changefeed.failures,(count),Total number of changefeed jobs which have failed. Shown as count.
crdb_dedicated.changefeed.max.behind.nanos,(gauge),Largest commit-to-emit duration of any running feed. Shown as nanoseconds.
crdb_dedicated.changefeed.message.size.hist,(gauge),Histogram of message sizes for changefeeds. Shown as bytes.
crdb_dedicated.changefeed.running,(gauge),"Number of currently running changefeeds, including sinkless. Shown as count."
crdb_dedicated.clock.offset.meannanos,(gauge),Mean clock offset with other nodes in nanoseconds. Shown as nanosecond
crdb_dedicated.clock.offset.stddevnanos,(gauge),Stdddev clock offset with other nodes in nanoseconds. Shown as nanosecond
crdb_dedicated.distsender.batches,(count),Number of batches processed
crdb_dedicated.distsender.batches.partial,(count),Number of partial batches processed
crdb_dedicated.distsender.errors.notleaseholder,(count),Number of NotLeaseHolderErrors encountered. Shown as error
crdb_dedicated.distsender.rpc.sent,(count),Number of RPCs sent
crdb_dedicated.distsender.rpc.sent.local,(count),Number of local RPCs sent
crdb_dedicated.distsender.rpc.sent.nextreplicaerror,(count),Number of RPCs sent due to per-replica errors. Shown as error
crdb_dedicated.exec.error,(count),Number of batch KV requests that failed to execute on this node. Shown as request
crdb_dedicated.exec.latency,(distribution),Latency in nanoseconds of batch KV requests executed on this node. Shown as nanosecond
crdb_dedicated.exec.success,(count),Number of batch KV requests executed successfully on this node. Shown as request
crdb_dedicated.gcbytesage,(gauge),Cumulative age of non-live data in seconds. Shown as second
crdb_dedicated.gossip.bytes.received,(count),Number of received gossip bytes. Shown as byte
crdb_dedicated.gossip.bytes.sent,(count),Number of sent gossip bytes. Shown as byte
crdb_dedicated.gossip.connections.incoming,(gauge),Number of active incoming gossip connections. Shown as connection
crdb_dedicated.gossip.connections.outgoing,(gauge),Number of active outgoing gossip connections. Shown as connection
crdb_dedicated.gossip.connections.refused,(count),Number of refused incoming gossip connections. Shown as connection
crdb_dedicated.gossip.infos.received,(count),Number of received gossip Info objects
crdb_dedicated.gossip.infos.sent,(count),Number of sent gossip Info objects
crdb_dedicated.intentage,(gauge),Cumulative age of intents in seconds. Shown as second
crdb_dedicated.intentbytes,(gauge),Number of bytes in intent KV pairs. Shown as byte
crdb_dedicated.intentcount,(gauge),Count of intent keys. Shown as key
crdb_dedicated.jobs.changefeed.resume.retry.error,(count),Number of changefeed jobs which failed with a retriable error. Shown as count.
crdb_dedicated.keybytes,(gauge),Number of bytes taken up by keys. Shown as byte
crdb_dedicated.keycount,(gauge),Count of all keys. Shown as key
crdb_dedicated.leases.epoch,(gauge),Number of replica leaseholders using epoch-based leases
crdb_dedicated.leases.error,(count),Number of failed lease requests. Shown as request
crdb_dedicated.leases.expiration,(gauge),Number of replica leaseholders using expiration-based leases
crdb_dedicated.leases.success,(count),Number of successful lease requests. Shown as request
crdb_dedicated.leases.transfers.error,(count),Number of failed lease transfers
crdb_dedicated.leases.transfers.success,(count),Number of successful lease transfers
crdb_dedicated.livebytes,(gauge),Number of bytes of live data (keys plus values). Shown as byte
crdb_dedicated.livecount,(gauge),Count of live keys. Shown as key
crdb_dedicated.liveness.epochincrements,(count),Number of times this node has incremented its liveness epoch
