metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name
cyral.analysis_time,counter,,,,Time spent in just doing analysis
cyral.analysis_time_counter,counter,,,,Number of increments to analysis_time
cyral.authentication_failure_count,counter,,,,The number of authentication failures
cyral.catalog_query_count,counter,,,,
cyral.closed_client_conns_count,counter,,,,
cyral.closed_listeners_count,counter,,,,
cyral.high_latency_query_count,counter,,,,Number of queries exceeding (configurable) threshold
cyral.open_client_conns_count,counter,,,,
cyral.open_listeners_count,counter,,,,
cyral.policy_eval_time,counter,,,,
cyral.policy_eval_time_counter,counter,,,,
cyral.policy_violation_count,counter,,,,The number of queries with policy violations
cyral.portscan_count,counter,,,,The number of detected portscan attempts
cyral.queries_with_errors,counter,,,,
cyral.query_duration_count,counter,,,,Number of increments to query_duration
cyral.query_duration_sum,counter,,,,The total duration of queries in milliseconds
cyral.repo_dial_errors_count,counter,,,,
cyral.row_count,counter,,,,The number of rows per query
cyral.sql_parse_time,counter,,,,Time spent doing parsing in milliseconds
cyral.sql_parse_time_counter,counter,,,,Number of increments to sql_parse_time
cyral.storage_watch_events_count,counter,,,,
cyral.wire_dial_errors_count,counter,,,,
cyral.wire_parse_duration,counter,,,,
cyral.wire_parse_duration_increments,counter,,,,
