metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name,curated_metric
filemage.ftp.account,gauge,,,,,0,filemage,fm.ftp.account,
filemage.ftp.append,gauge,,,,,0,filemage,fm.ftp.append,
filemage.ftp.ascii,gauge,,,,,0,filemage,fm.ftp.ascii,
filemage.ftp.bell,gauge,,,,,0,filemage,fm.ftp.bell,
filemage.ftp.binary,gauge,,,,,0,filemage,fm.ftp.binary,
filemage.ftp.bye,gauge,,,,,0,filemage,fm.ftp.bye,
filemage.ftp.case,gauge,,,,,0,filemage,fm.ftp.case,
filemage.ftp.cd,gauge,,,,,0,filemage,fm.ftp.cd,
filemage.ftp.cdup,gauge,,,,,0,filemage,fm.ftp.cdup,
filemage.ftp.chmod,gauge,,,,,0,filemage,fm.ftp.chmod,
filemage.ftp.close,gauge,,,,,0,filemage,fm.ftp.close,
filemage.ftp.cr,gauge,,,,,0,filemage,fm.ftp.cr,
filemage.ftp.qc,gauge,,,,,0,filemage,fm.ftp.qc,
filemage.ftp.delete,gauge,,,,,0,filemage,fm.ftp.delete,
filemage.ftp.debug,gauge,,,,,0,filemage,fm.ftp.debug,
filemage.ftp.disconnect,gauge,,,,,0,filemage,fm.ftp.disconnect,
filemage.ftp.form,gauge,,,,,0,filemage,fm.ftp.form,
filemage.ftp.get,gauge,,,,,0,filemage,fm.ftp.get,
filemage.ftp.glob,gauge,,,,,0,filemage,fm.ftp.glob,
filemage.ftp.hash,gauge,,,,,0,filemage,fm.ftp.hash,
filemage.ftp.help,gauge,,,,,0,filemage,fm.ftp.help,
filemage.ftp.idle,gauge,,,,,0,filemage,fm.ftp.idle,
filemage.ftp.ipany,gauge,,,,,0,filemage,fm.ftp.ipany,
filemage.ftp.ipv4,gauge,,,,,0,filemage,fm.ftp.ipv4,
filemage.ftp.ipv6,gauge,,,,,0,filemage,fm.ftp.ipv6,
filemage.ftp.lcd,gauge,,,,,0,filemage,fm.ftp.lcd,
filemage.ftp.macdef,gauge,,,,,0,filemage,fm.ftp.macdef,
filemage.ftp.mdelete,gauge,,,,,0,filemage,fm.ftp.mdelete,
filemage.ftp.mdir,gauge,,,,,0,filemage,fm.ftp.mdir,
filemage.ftp.mget,gauge,,,,,0,filemage,fm.ftp.mget,
filemage.ftp.mkdir,gauge,,,,,0,filemage,fm.ftp.mkdir,
filemage.ftp.mls,gauge,,,,,0,filemage,fm.ftp.mls,
filemage.ftp.mode,gauge,,,,,0,filemage,fm.ftp.mode,
filemage.ftp.modtime,gauge,,,,,0,filemage,fm.ftp.modtime,
filemage.ftp.mput,gauge,,,,,0,filemage,fm.ftp.mput,
filemage.ftp.newer,gauge,,,,,0,filemage,fm.ftp.newer,
filemage.ftp.nmap,gauge,,,,,0,filemage,fm.ftp.nmap,
filemage.ftp.ntrans,gauge,,,,,0,filemage,fm.ftp.ntrans,
filemage.ftp.open,gauge,,,,,0,filemage,fm.ftp.open,
filemage.ftp.prompt,gauge,,,,,0,filemage,fm.ftp.prompt,
filemage.ftp.proxy,gauge,,,,,0,filemage,fm.ftp.proxy,
filemage.ftp.put,gauge,,,,,0,filemage,fm.ftp.put,
filemage.ftp.pwd,gauge,,,,,0,filemage,fm.ftp.pwd,
filemage.ftp.quit,gauge,,,,,0,filemage,fm.ftp.quit,
filemage.ftp.quote,gauge,,,,,0,filemage,fm.ftp.quote,
filemage.ftp.recv,gauge,,,,,0,filemage,fm.ftp.recv,
filemage.ftp.reget,gauge,,,,,0,filemage,fm.ftp.reget,
filemage.ftp.remotehelp,gauge,,,,,0,filemage,fm.ftp.remotehelp,
filemage.ftp.remotestatus,gauge,,,,,0,filemage,fm.ftp.remotestatus,
filemage.ftp.reset,gauge,,,,,0,filemage,fm.ftp.reset,
filemage.ftp.restart,gauge,,,,,0,filemage,fm.ftp.restart,
filemage.ftp.rmdir,gauge,,,,,0,filemage,fm.ftp.rmdir,
filemage.ftp.runique,gauge,,,,,0,filemage,fm.ftp.runique,
filemage.ftp.send,gauge,,,,,0,filemage,fm.ftp.send,
filemage.ftp.sendport,gauge,,,,,0,filemage,fm.ftp.sendport,
filemage.ftp.site,gauge,,,,,0,filemage,fm.ftp.site,
filemage.ftp.size,gauge,,,,,0,filemage,fm.ftp.size,
filemage.ftp.status,gauge,,,,,0,filemage,fm.ftp.status,
filemage.ftp.struct,gauge,,,,,0,filemage,fm.ftp.struct,
filemage.ftp.sunique,gauge,,,,,0,filemage,fm.ftp.sunique,
filemage.ftp.system,gauge,,,,,0,filemage,fm.ftp.system,
filemage.ftp.tenex,gauge,,,,,0,filemage,fm.ftp.tenex,
filemage.ftp.trace,gauge,,,,,0,filemage,fm.ftp.trace,
filemage.ftp.type,gauge,,,,,0,filemage,fm.ftp.type,
filemage.ftp.umask,gauge,,,,,0,filemage,fm.ftp.umask,
filemage.ftp.verbose,gauge,,,,,0,filemage,fm.ftp.verbose,
