metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name,curated_metric
fluentbit.input.records.count,count,,entry,,Number of records processed by the input.,1,fluent_bit,in_rec,
fluentbit.input.bytes.count,count,,byte,,Number of bytes processed by the input.,1,fluent_bit,in_bytes,
fluentbit.filter.add_records.count,count,,entry,,Number of records added by the filter.,1,fluent_bit,filter_add_rec,
fluentbit.filter.drop_records.count,count,,entry,,Number of records dropped by the filter.,1,fluent_bit,filter_drop_rec,
fluentbit.output.proc_records.count,count,,entry,,Number of records processed by the output.,1,fluent_bit,out_rec,
fluentbit.output.proc_bytes.count,count,,byte,,Number of bytes processed by the output.,1,fluent_bit,out_bytes,
fluentbit.output.errors.count,count,,error,,Number of errors in the output.,1,fluent_bit,out_errs,
fluentbit.output.retries.count,count,,attempt,,Number of retries in the output.,1,fluent_bit,out_retry,
fluentbit.output.retries_failed.count,count,,error,,Number of abandoned batches because the maximum number of retries was reached.,1,fluent_bit,out_retry_failed,
fluentbit.output.retried_records.count,count,,entry,,Number of records retried by the output.,1,fluent_bit,out_retry_rec,
fluentbit.output.dropped_records.count,count,,entry,,Number of records dropped by the output.,1,fluent_bit,out_drop_rec,
