metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name,curated_metric,sample_tags
grafana.access_evaluation_count.count,count,,,,Number of evaluation calls,0,grafana,,,
grafana.access_evaluation_duration.bucket,count,,,,Histogram for the runtime of evaluation function.,0,grafana,,,
grafana.access_evaluation_duration.count,count,,,,Histogram for the runtime of evaluation function.,0,grafana,,,
grafana.access_evaluation_duration.sum,count,,,,Histogram for the runtime of evaluation function.,0,grafana,,,
grafana.access_permissions_cache_usage.count,count,,,,Access control permissions cache hit/miss,0,grafana,,,
grafana.access_permissions_duration.bucket,count,,,,Histogram for the runtime of permissions check function.,0,grafana,,,
grafana.access_permissions_duration.count,count,,,,Histogram for the runtime of permissions check function.,0,grafana,,,
grafana.access_permissions_duration.sum,count,,,,Histogram for the runtime of permissions check function.,0,grafana,,,
grafana.access_search_permissions_duration.bucket,count,,,,Histogram for the runtime of permissions search function,0,grafana,,,
grafana.access_search_permissions_duration.count,count,,,,Histogram for the runtime of permissions search function,0,grafana,,,
grafana.access_search_permissions_duration.sum,count,,,,Histogram for the runtime of permissions search function,0,grafana,,,
grafana.access_search_user_permissions_cache_usage.count,count,,,,Access control search user permissions cache hit/miss,0,grafana,,,
grafana.aggregator_discovery_aggregation_count.count,count,,,,[ALPHA] Counter of number of times discovery was aggregated,0,grafana,,,
grafana.alerting_active_alerts,gauge,,,,Amount of active alerts,0,grafana,,,
grafana.alerting_active_configurations,gauge,,,,The number of active Alertmanager configurations.,0,grafana,,,
grafana.alerting_alertmanager_alerts,gauge,,,,How many alerts by state are in Grafana's Alertmanager.,0,grafana,,,
grafana.alerting_alertmanager_config_hash,gauge,,,,The hash of the Alertmanager configuration.,0,grafana,,,
grafana.alerting_alertmanager_config_match,gauge,,,,The total number of match,0,grafana,,,
grafana.alerting_alertmanager_config_match_re,gauge,,,,The total number of matchRE,0,grafana,,,
grafana.alerting_alertmanager_config_matchers,gauge,,,,The total number of matchers,0,grafana,,,
grafana.alerting_alertmanager_config_object_matchers,gauge,,,,The total number of object_matchers,0,grafana,,,
grafana.alerting_alertmanager_config_size_bytes,gauge,,byte,,The size of the grafana alertmanager configuration in bytes,0,grafana,,,
grafana.alerting_alertmanager_inhibition_rules,gauge,,,,Number of configured inhibition rules.,0,grafana,,,
grafana.alerting_alertmanager_integrations,gauge,,,,Number of configured receivers.,0,grafana,,,
grafana.alerting_alertmanager_receivers,gauge,,,,Number of configured receivers by state. It is considered active if used within a route.,0,grafana,,,
grafana.alerting_alerts,gauge,,,,How many alerts by state are in the scheduler.,0,grafana,,,
grafana.alerting_alerts_invalid.count,count,,,,The total number of received alerts that were invalid.,0,grafana,,,
grafana.alerting_alerts_received.count,count,,,,The total number of received alerts.,0,grafana,,,
grafana.alerting_discovered_configurations,gauge,,,,The number of organizations we've discovered that require an Alertmanager configuration.,0,grafana,,,
grafana.alerting_dispatcher_aggregation_groups,gauge,,,,Number of active aggregation groups,0,grafana,,,
grafana.alerting_dispatcher_alert_processing_duration_seconds.count,count,,second,,Summary of latencies for the processing of alerts.,0,grafana,,,
grafana.alerting_dispatcher_alert_processing_duration_seconds.sum,count,,second,,Summary of latencies for the processing of alerts.,0,grafana,,,
grafana.alerting_execution_time_milliseconds.count,count,,millisecond,,Summary of alert execution duration,0,grafana,,,
