metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name,curated_metric,sample_tags
gravitee.apim.api_request_count,count,,,,API V2/V4 Number of requests,0,Gravitee,API V2/V4 Number of requests,,
gravitee.apim.api_response_time_ms,gauge,,millisecond,,API V2 Response time spent to call the backend upstream,0,Gravitee,API V2 Response time spent to call the backend upstream,,
gravitee.apim.count,count,,,,Node JVM Threads count,0,Gravitee,Node JVM Threads count,,
gravitee.apim.endpoint_response_time_ms,gauge,,millisecond,,API V4 Response time spent to call the backend upstream,0,Gravitee,API V4 Response time spent to call the backend upstream,,
gravitee.apim.gateway_latency_ms,gauge,,millisecond,,API V4 Latency of the gateway to apply policies,0,Gravitee,API V4 Latency of the gateway to apply policies,,
gravitee.apim.gateway_response_time_ms,gauge,,millisecond,,API V4 Global response time to process and respond to the consumer,0,Gravitee,API V4 Global response time to process and respond to the consumer,,
gravitee.apim.heap_committed_in_bytes,gauge,,byte,,Node JVM Heap committed in bytes,0,Gravitee,Node JVM Heap committed in bytes,,
gravitee.apim.heap_max_in_bytes,gauge,,byte,,Node JVM Max Heap in bytes,0,Gravitee,Node JVM Max Heap in bytes,,
gravitee.apim.heap_used_in_bytes,gauge,,byte,,Node JVM Heap used in bytes,0,Gravitee,Node JVM Heap used in bytes,,
gravitee.apim.heap_used_percent,gauge,,percentage,,Node JVM Head used in percent,0,Gravitee,Node JVM Head used in percent,,
gravitee.apim.jvm_timestamp,gauge,,,,Node JVM timestamp,1,Gravitee,Node JVM timestamp,,
gravitee.apim.load_average_15m,gauge,,percentage,,Node CPU load average 15m,0,Gravitee,Node CPU load average 15m,,
gravitee.apim.load_average_1m,gauge,,percentage,,Node CPU load average 1m,0,Gravitee,Node CPU load average 1m,,
gravitee.apim.load_average_5m,gauge,,percentage,,Node CPU load average 5m,0,Gravitee,Node CPU load average 5m,,
gravitee.apim.max_file_descriptors,gauge,,,,Node Maximum number of file descriptors allowed on the system,0,Gravitee,Node Maximum number of file descriptors allowed on the system,,
gravitee.apim.mem_free_in_bytes,gauge,,byte,,Node Free Memory in bytes,0,Gravitee,Node Free Memory in bytes,,
gravitee.apim.mem_free_percent,gauge,,percentage,,Node Free memory percent,0,Gravitee,Node Free memory percent,,
gravitee.apim.mem_total_in_bytes,gauge,,byte,,Node Total memory in bytes,0,Gravitee,Node Total memory in bytes,,
gravitee.apim.mem_used_in_bytes,gauge,,byte,,Node Used Memory in bytes,0,Gravitee,Node Used Memory in bytes,,
gravitee.apim.mem_used_percent,gauge,,percentage,,Node Used memory precent,0,Gravitee,Node Used memory precent,,
gravitee.apim.non_heap_committed_in_bytes,gauge,,byte,,Node JVM Non-heap committed in bytes,0,Gravitee,Node JVM Non-heap committed in bytes,,
gravitee.apim.non_heap_used_in_bytes,gauge,,byte,,Node JVM Non-Heap used in bytes,0,Gravitee,Node JVM Non-Heap used in bytes,,
gravitee.apim.open_file_descriptors,gauge,,,,Node Number of opened file descriptors associated with the current process,0,Gravitee,Node Number of opened file descriptors associated with the current process,,
gravitee.apim.peak_count,count,,,,Node JVM Threads peak count,0,Gravitee,Node JVM Threads peak count,,
gravitee.apim.percent,gauge,,percentage,,Node CPU percent usage,0,Gravitee,Node CPU percent usage,,
gravitee.apim.process_percent,gauge,,percentage,,Node Process CPU load,0,Gravitee,Node Process CPU load,,
gravitee.apim.process_timestamp,gauge,,,,Node Process timestamp,1,Gravitee,Node Process timestamp,,
gravitee.apim.proxy_latency_ms,gauge,,millisecond,,API V2 Latency of the gateway to apply policies,0,Gravitee,API V2 Latency of the gateway to apply policies,,
gravitee.apim.proxy_response_time_ms,gauge,,millisecond,,API V2 Global response time to process and respond to the consumer,0,Gravitee,API V2 Global response time to process and respond to the consumer,,
gravitee.apim.request_content_length,gauge,,byte,,API V2/V4 Size of the request payload,0,Gravitee,API V2/V4 Size of the request payload,,
gravitee.apim.response_content_length,gauge,,byte,,API V2/V4 Size of the response payload,0,Gravitee,API V2/V4 Size of the response payload,,
gravitee.apim.uptime_in_millis,gauge,,millisecond,,Node JVM uptime,1,Gravitee,Node JVM uptime,,
