metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name,curated_metric
kamailio.core.bad_URIs_rcvd,gauge,,,,,0,kamailio,kam.core.bad_URIs_rcvd,
kamailio.core.bad_msg_hdr,gauge,,,,,0,kamailio,kam.core.bad_msg_hdr,
kamailio.core.drop_replies,gauge,,,,,0,kamailio,kam.core.drop_replies,
kamailio.core.drop_requests,gauge,,,,,0,kamailio,kam.core.drop_requests,
kamailio.core.err_replies,gauge,,,,,0,kamailio,kam.core.err_replies,
kamailio.core.err_requests,gauge,,,,,0,kamailio,kam.core.err_requests,
kamailio.core.fwd_replies,gauge,,,,,0,kamailio,kam.core.fwd_replies,
kamailio.core.fwd_requests,gauge,,,,,0,kamailio,kam.core.fwd_requests,
kamailio.core.rcv_replies,gauge,,,,,0,kamailio,kam.core.rcv_replies,
kamailio.core.rcv_replies_18x,gauge,,,,,0,kamailio,kam.core.rcv_replies_18x,
kamailio.core.rcv_replies_1xx,gauge,,,,,0,kamailio,kam.core.rcv_replies_1xx,
kamailio.core.rcv_replies_1xx_bye,gauge,,,,,0,kamailio,kam.core.rcv_replies_1xx_bye,
kamailio.core.rcv_replies_1xx_cancel,gauge,,,,,0,kamailio,kam.core.rcv_replies_1xx_cancel,
kamailio.core.rcv_replies_1xx_invite,gauge,,,,,0,kamailio,kam.core.rcv_replies_1xx_invite,
kamailio.core.rcv_replies_1xx_message,gauge,,,,,0,kamailio,kam.core.rcv_replies_1xx_message,
kamailio.core.rcv_replies_1xx_prack,gauge,,,,,0,kamailio,kam.core.rcv_replies_1xx_prack,
kamailio.core.rcv_replies_1xx_refer,gauge,,,,,0,kamailio,kam.core.rcv_replies_1xx_refer,
kamailio.core.rcv_replies_1xx_reg,gauge,,,,,0,kamailio,kam.core.rcv_replies_1xx_reg,
kamailio.core.rcv_replies_1xx_update,gauge,,,,,0,kamailio,kam.core.rcv_replies_1xx_update,
kamailio.core.rcv_replies_2xx,gauge,,,,,0,kamailio,kam.core.rcv_replies_2xx,
kamailio.core.rcv_replies_2xx_bye,gauge,,,,,0,kamailio,kam.core.rcv_replies_2xx_bye,
kamailio.core.rcv_replies_2xx_cancel,gauge,,,,,0,kamailio,kam.core.rcv_replies_2xx_cancel,
kamailio.core.rcv_replies_2xx_invite,gauge,,,,,0,kamailio,kam.core.rcv_replies_2xx_invite,
kamailio.core.rcv_replies_2xx_message,gauge,,,,,0,kamailio,kam.core.rcv_replies_2xx_message,
kamailio.core.rcv_replies_2xx_prack,gauge,,,,,0,kamailio,kam.core.rcv_replies_2xx_prack,
kamailio.core.rcv_replies_2xx_refer,gauge,,,,,0,kamailio,kam.core.rcv_replies_2xx_refer,
kamailio.core.rcv_replies_2xx_reg,gauge,,,,,0,kamailio,kam.core.rcv_replies_2xx_reg,
kamailio.core.rcv_replies_2xx_update,gauge,,,,,0,kamailio,kam.core.rcv_replies_2xx_update,
kamailio.core.rcv_replies_3xx,gauge,,,,,0,kamailio,kam.core.rcv_replies_3xx,
kamailio.core.rcv_replies_3xx_bye,gauge,,,,,0,kamailio,kam.core.rcv_replies_3xx_bye,
kamailio.core.rcv_replies_3xx_cancel,gauge,,,,,0,kamailio,kam.core.rcv_replies_3xx_cancel,
kamailio.core.rcv_replies_3xx_invite,gauge,,,,,0,kamailio,kam.core.rcv_replies_3xx_invite,
kamailio.core.rcv_replies_3xx_message,gauge,,,,,0,kamailio,kam.core.rcv_replies_3xx_message,
kamailio.core.rcv_replies_3xx_prack,gauge,,,,,0,kamailio,kam.core.rcv_replies_3xx_prack,
kamailio.core.rcv_replies_3xx_refer,gauge,,,,,0,kamailio,kam.core.rcv_replies_3xx_refer,
kamailio.core.rcv_replies_3xx_reg,gauge,,,,,0,kamailio,kam.core.rcv_replies_3xx_reg,
kamailio.core.rcv_replies_3xx_update,gauge,,,,,0,kamailio,kam.core.rcv_replies_3xx_update,
kamailio.core.rcv_replies_401,gauge,,,,,0,kamailio,kam.core.rcv_replies_401,
kamailio.core.rcv_replies_404,gauge,,,,,0,kamailio,kam.core.rcv_replies_404,
kamailio.core.rcv_replies_407,gauge,,,,,0,kamailio,kam.core.rcv_replies_407,
kamailio.core.rcv_replies_480,gauge,,,,,0,kamailio,kam.core.rcv_replies_480,
kamailio.core.rcv_replies_486,gauge,,,,,0,kamailio,kam.core.rcv_replies_486,
kamailio.core.rcv_replies_4xx,gauge,,,,,0,kamailio,kam.core.rcv_replies_4xx,
kamailio.core.rcv_replies_4xx_bye,gauge,,,,,0,kamailio,kam.core.rcv_replies_4xx_bye,
kamailio.core.rcv_replies_4xx_cancel,gauge,,,,,0,kamailio,kam.core.rcv_replies_4xx_cancel,
kamailio.core.rcv_replies_4xx_invite,gauge,,,,,0,kamailio,kam.core.rcv_replies_4xx_invite,
kamailio.core.rcv_replies_4xx_message,gauge,,,,,0,kamailio,kam.core.rcv_replies_4xx_message,
kamailio.core.rcv_replies_4xx_prack,gauge,,,,,0,kamailio,kam.core.rcv_replies_4xx_prack,
kamailio.core.rcv_replies_4xx_refer,gauge,,,,,0,kamailio,kam.core.rcv_replies_4xx_refer,
kamailio.core.rcv_replies_4xx_reg,gauge,,,,,0,kamailio,kam.core.rcv_replies_4xx_reg,
kamailio.core.rcv_replies_4xx_update,gauge,,,,,0,kamailio,kam.core.rcv_replies_4xx_update,
kamailio.core.rcv_replies_5xx,gauge,,,,,0,kamailio,kam.core.rcv_replies_5xx,
kamailio.core.rcv_replies_5xx_bye,gauge,,,,,0,kamailio,kam.core.rcv_replies_5xx_bye,
kamailio.core.rcv_replies_5xx_cancel,gauge,,,,,0,kamailio,kam.core.rcv_replies_5xx_cancel,
kamailio.core.rcv_replies_5xx_invite,gauge,,,,,0,kamailio,kam.core.rcv_replies_5xx_invite,
kamailio.core.rcv_replies_5xx_message,gauge,,,,,0,kamailio,kam.core.rcv_replies_5xx_message,
kamailio.core.rcv_replies_5xx_prack,gauge,,,,,0,kamailio,kam.core.rcv_replies_5xx_prack,
kamailio.core.rcv_replies_5xx_refer,gauge,,,,,0,kamailio,kam.core.rcv_replies_5xx_refer,
kamailio.core.rcv_replies_5xx_reg,gauge,,,,,0,kamailio,kam.core.rcv_replies_5xx_reg,
kamailio.core.rcv_replies_5xx_update,gauge,,,,,0,kamailio,kam.core.rcv_replies_5xx_update,
kamailio.core.rcv_replies_6xx,gauge,,,,,0,kamailio,kam.core.rcv_replies_6xx,
kamailio.core.rcv_replies_6xx_bye,gauge,,,,,0,kamailio,kam.core.rcv_replies_6xx_bye,
