metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name,curated_metric
kurrentdb.cache_hits_misses.count,count,,,,Total hits/misses on a cache,0,kurrentdb,,
kurrentdb.cache_resources_bytes,gauge,,byte,,Current capacity/size of a dynamic cache in bytes,0,kurrentdb,,
kurrentdb.cache_resources_entries,gauge,,item,,Current number of entries in a dynamic cache,0,kurrentdb,,
kurrentdb.checkpoints,gauge,,,,Value for a checkpoint,0,kurrentdb,,
kurrentdb.elections_count.count,count,,,,Elections count in a cluster,0,kurrentdb,,
kurrentdb.io_bytes.count,count,,byte,,Event bytes read,0,kurrentdb,,
kurrentdb.io_events.count,count,,event,,Events read/written,0,kurrentdb,,
kurrentdb.logical_chunk_read_distribution.bucket,count,,,,Distribution of where in the log events are being read from relative to the current tail (bucket counts),0,kurrentdb,,
kurrentdb.logical_chunk_read_distribution.count,count,,,,Distribution of where in the log events are being read from relative to the current tail (observation count),0,kurrentdb,,
kurrentdb.logical_chunk_read_distribution.sum,count,,,,Distribution of where in the log events are being read from relative to the current tail (sum of observations),0,kurrentdb,,
kurrentdb.io_record_read_duration_seconds.bucket,count,,,,"Time taken to read records from the Archive, ChunkCache or FileSystem (bucket counts)",0,kurrentdb,,
kurrentdb.io_record_read_duration_seconds.count,count,,,,"Time taken to read records from the Archive, ChunkCache or FileSystem (observation count)",0,kurrentdb,,
kurrentdb.io_record_read_duration_seconds.sum,count,,second,,"Time taken to read records from the Archive, ChunkCache or FileSystem (sum of observations)",0,kurrentdb,,
kurrentdb.gossip_latency_seconds.bucket,count,,,,Round trip latency of gossip pushed to or pulled from peers (bucket counts),0,kurrentdb,,
kurrentdb.gossip_latency_seconds.count,count,,,,Round trip latency of gossip pushed to or pulled from peers (observation count),0,kurrentdb,,
kurrentdb.gossip_latency_seconds.sum,count,,second,,Round trip latency of gossip pushed to or pulled from peers (sum of observations),0,kurrentdb,,
kurrentdb.gossip_processing_duration_seconds.bucket,count,,,,Time taken to process gossip (bucket counts),0,kurrentdb,,
kurrentdb.gossip_processing_duration_seconds.count,count,,,,Time taken to process gossip (observation count),0,kurrentdb,,
kurrentdb.gossip_processing_duration_seconds.sum,count,,second,,Time taken to process gossip (sum of observations),0,kurrentdb,,
kurrentdb.current_incoming_grpc_calls,gauge,,,,Inflight gRPC calls i.e. requests started but not yet stopped,0,kurrentdb,,
kurrentdb.incoming_grpc_calls.count,count,,,,"Total gRPC requests served, failed, unimplemented or that exceeded their deadline",0,kurrentdb,,
kurrentdb.grpc_method_duration_seconds.bucket,count,,,,Time taken to process client protocol gRPC method requests (bucket counts),0,kurrentdb,,
kurrentdb.grpc_method_duration_seconds.count,count,,,,Time taken to process client protocol gRPC method requests (observation count),0,kurrentdb,,
kurrentdb.grpc_method_duration_seconds.sum,count,,second,,Time taken to process client protocol gRPC method requests (sum of observations),0,kurrentdb,,
kurrentdb.kestrel_connections,gauge,,connection,,Number of open Kestrel connections,0,kurrentdb,,
kurrentdb.persistent_sub_connections,gauge,,connection,,Number of connections to the persistent subscription,0,kurrentdb,,
kurrentdb.persistent_sub_parked_messages,gauge,,message,,Number of parked messages in the persistent subscription,0,kurrentdb,,
kurrentdb.persistent_sub_in_flight_messages,gauge,,message,,Number of in flight messages in the persistent subscription,0,kurrentdb,,
kurrentdb.persistent_sub_oldest_parked_message_seconds,gauge,,second,,Age of the oldest parked message in seconds,0,kurrentdb,,
kurrentdb.persistent_sub_items_processed.count,count,,item,,Total number of items processed by the persistent subscription,0,kurrentdb,,
kurrentdb.persistent_sub_last_known_event_number,gauge,,,,Last known event number of the persistent subscription,0,kurrentdb,,
kurrentdb.persistent_sub_last_known_event_commit_position,gauge,,,,Last known event commit position of the persistent subscription,0,kurrentdb,,
kurrentdb.persistent_sub_checkpointed_event_number,gauge,,,,Checkpointed event number of the persistent subscription,0,kurrentdb,,
kurrentdb.persistent_sub_checkpointed_event_commit_position,gauge,,,,Checkpointed event commit position of the persistent subscription,0,kurrentdb,,
kurrentdb.persistent_sub_parked_message_replays,gauge,,,,Number of parked message replays of the persistent subscription,0,kurrentdb,,
kurrentdb.persistent_sub_park_message_requests,gauge,,,,Number of message park requests of the persistent subscription,0,kurrentdb,,
kurrentdb.proc_up_time_seconds.count,count,,second,,Time in seconds this KurrentDB process has been running,0,kurrentdb,,
kurrentdb.proc_cpu,gauge,,,,Process CPU usage,0,kurrentdb,,
kurrentdb.proc_thread_count,gauge,,thread,,Current number of threads,0,kurrentdb,,
kurrentdb.proc_thread_pool_pending_work_item_count,gauge,,item,,Number of work items queued to the thread pool,0,kurrentdb,,
kurrentdb.proc_contention_count.count,count,,,,Total number of times a thread stopped to wait on a lock,0,kurrentdb,,
kurrentdb.proc_exception_count.count,count,,,,Total number of exceptions thrown,0,kurrentdb,,
kurrentdb.gc_time_in_gc,gauge,,percent,,Percentage of time spent in garbage collection,0,kurrentdb,,
kurrentdb.gc_heap_size_bytes,gauge,,byte,,Heap size in bytes,0,kurrentdb,,
