metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name,curated_metric,sample_tags
system.pressure.cpu.some.avg10,gauge,,percent,,Percentage of wall time in the last 10s during which at least one task was stalled on CPU,0,linux_psi,cpu some 10s,,
system.pressure.cpu.some.avg60,gauge,,percent,,Percentage of wall time in the last 60s during which at least one task was stalled on CPU,0,linux_psi,cpu some 60s,,
system.pressure.cpu.some.avg300,gauge,,percent,,Percentage of wall time in the last 300s during which at least one task was stalled on CPU,0,linux_psi,cpu some 300s,,
system.pressure.cpu.some.total,count,,microsecond,,Cumulative time since boot during which at least one task was stalled on CPU,0,linux_psi,cpu some total,,
system.pressure.cpu.full.avg10,gauge,,percent,,Percentage of wall time in the last 10s during which all tasks were stalled on CPU (kernel 5.13+),0,linux_psi,cpu full 10s,,
system.pressure.cpu.full.avg60,gauge,,percent,,Percentage of wall time in the last 60s during which all tasks were stalled on CPU (kernel 5.13+),0,linux_psi,cpu full 60s,,
system.pressure.cpu.full.avg300,gauge,,percent,,Percentage of wall time in the last 300s during which all tasks were stalled on CPU (kernel 5.13+),0,linux_psi,cpu full 300s,,
system.pressure.cpu.full.total,count,,microsecond,,Cumulative time since boot during which all tasks were stalled on CPU (kernel 5.13+),0,linux_psi,cpu full total,,
system.pressure.memory.some.avg10,gauge,,percent,,Percentage of wall time in the last 10s during which at least one task was stalled on memory,0,linux_psi,memory some 10s,,
system.pressure.memory.some.avg60,gauge,,percent,,Percentage of wall time in the last 60s during which at least one task was stalled on memory,0,linux_psi,memory some 60s,,
system.pressure.memory.some.avg300,gauge,,percent,,Percentage of wall time in the last 300s during which at least one task was stalled on memory,0,linux_psi,memory some 300s,,
system.pressure.memory.some.total,count,,microsecond,,Cumulative time since boot during which at least one task was stalled on memory,0,linux_psi,memory some total,,
system.pressure.memory.full.avg10,gauge,,percent,,Percentage of wall time in the last 10s during which all tasks were stalled on memory,0,linux_psi,memory full 10s,,
system.pressure.memory.full.avg60,gauge,,percent,,Percentage of wall time in the last 60s during which all tasks were stalled on memory,0,linux_psi,memory full 60s,,
system.pressure.memory.full.avg300,gauge,,percent,,Percentage of wall time in the last 300s during which all tasks were stalled on memory,0,linux_psi,memory full 300s,,
system.pressure.memory.full.total,count,,microsecond,,Cumulative time since boot during which all tasks were stalled on memory,0,linux_psi,memory full total,,
system.pressure.io.some.avg10,gauge,,percent,,Percentage of wall time in the last 10s during which at least one task was stalled on I/O,0,linux_psi,io some 10s,,
system.pressure.io.some.avg60,gauge,,percent,,Percentage of wall time in the last 60s during which at least one task was stalled on I/O,0,linux_psi,io some 60s,,
system.pressure.io.some.avg300,gauge,,percent,,Percentage of wall time in the last 300s during which at least one task was stalled on I/O,0,linux_psi,io some 300s,,
system.pressure.io.some.total,count,,microsecond,,Cumulative time since boot during which at least one task was stalled on I/O,0,linux_psi,io some total,,
system.pressure.io.full.avg10,gauge,,percent,,Percentage of wall time in the last 10s during which all tasks were stalled on I/O,0,linux_psi,io full 10s,,
system.pressure.io.full.avg60,gauge,,percent,,Percentage of wall time in the last 60s during which all tasks were stalled on I/O,0,linux_psi,io full 60s,,
system.pressure.io.full.avg300,gauge,,percent,,Percentage of wall time in the last 300s during which all tasks were stalled on I/O,0,linux_psi,io full 300s,,
system.pressure.io.full.total,count,,microsecond,,Cumulative time since boot during which all tasks were stalled on I/O,0,linux_psi,io full total,,
