metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name
logstash.process.open_file_descriptors,gauge,,,,The number of open file descriptors used by this process.,,logstash,process open fds
logstash.process.peak_open_file_descriptors,gauge,,,,The peak number of open file descriptors used by this process.,,logstash,process peak open fds
logstash.process.max_file_descriptors,gauge,,,,The maximum number of file descriptors used by this process.,,logstash,process max fds
logstash.process.mem.total_virtual_in_bytes,gauge,,byte,,Total virtual memory allocated to this process.,,logstash,total process virtual mem
logstash.process.cpu.total_in_millis,gauge,,millisecond,,The CPU time in milliseconds.,,logstash,total process cpu
logstash.process.cpu.percent,gauge,,percent,,CPU utilization in percentage.,,logstash,process cpu utilization
logstash.process.cpu.load_average.1m,gauge,,,,The average CPU load over one minute.,,logstash,process cpu load 1m
logstash.process.cpu.load_average.5m,gauge,,,,The average CPU load over five minutes,,logstash,process cpu load 5m
logstash.process.cpu.load_average.15m,gauge,,,,The average CPU load over fifteen minutes.,,logstash,process cpu load 15m
logstash.jvm.threads.count,gauge,,thread,,Number of threads used by the JVM.,,logstash,jvm threads count
logstash.jvm.threads.peak_count,gauge,,thread,,The peak number of threads used by JVM.,,logstash,jvm threads peak_count
logstash.jvm.mem.heap_used_percent,gauge,,percent,,Total Java heap memory used.,,logstash,jvm mem heap used percent
logstash.jvm.mem.heap_committed_in_bytes,gauge,,bytes,,Total Java heap memory commited.,,logstash,jvm mem heap committed in bytes
logstash.jvm.mem.heap_max_in_bytes,gauge,,bytes,,Maximum Java heap memory size.,,logstash,jvm mem heap max in bytes
logstash.jvm.mem.heap_used_in_bytes,gauge,,bytes,,Total Java heap memory used.,,logstash,jvm mem heap used in bytes
logstash.jvm.mem.non_heap_used_in_bytes,gauge,,bytes,,Total Java non-heap memory used.,,logstash,jvm mem non heap used in bytes
logstash.jvm.mem.non_heap_committed_in_bytes,gauge,,bytes,,Total Java non-heap memory committed.,,logstash,jvm mem non heap committed in bytes
logstash.jvm.mem.pools.survivor.peak_used_in_bytes,gauge,,bytes,,The Java memory used in the Survivor space.,,logstash,jvm mem pools survivor peak used in bytes
logstash.jvm.mem.pools.survivor.used_in_bytes,gauge,,bytes,,The peak Java memory used in the Survivor space.,,logstash,jvm mem pools survivor used in bytes
logstash.jvm.mem.pools.survivor.peak_max_in_bytes,gauge,,bytes,,The peak maximum Java memory used in the Survivor space.,,logstash,jvm mem pools survivor peak max in bytes
logstash.jvm.mem.pools.survivor.max_in_bytes,gauge,,bytes,,The maximum Java memory used in the Survivor space.,,logstash,jvm mem pools survivor max in bytes
logstash.jvm.mem.pools.survivor.committed_in_bytes,gauge,,bytes,,The commited Java memory used in the Survivor space.,,logstash,jvm mem pools survivor committed in bytes
logstash.jvm.mem.pools.old.peak_used_in_bytes,gauge,,bytes,,The peak Java memory used in the Old generation.,,logstash,jvm mem pools old peak used in bytes
logstash.jvm.mem.pools.old.used_in_bytes,gauge,,bytes,,The Java memory used in the Old generation.,,logstash,jvm mem pools old used in bytes
logstash.jvm.mem.pools.old.peak_max_in_bytes,gauge,,bytes,,The peak maximum Java memory used in the Old generation.,,logstash,jvm mem pools old peak max in bytes
logstash.jvm.mem.pools.old.max_in_bytes,gauge,,bytes,,The maximum Java memory used in the Old generation.,,logstash,jvm mem pools old max in bytes
logstash.jvm.mem.pools.old.committed_in_bytes,gauge,,bytes,,The commited Java memory used in the Old generation.,,logstash,jvm mem pools old committed in bytes
logstash.jvm.mem.pools.young.peak_used_in_bytes,gauge,,bytes,,The peak Java memory used in the Young space.,,logstash,jvm mem pools young peak used in bytes
logstash.jvm.mem.pools.young.used_in_bytes,gauge,,bytes,,The Java memory used in the Young generation.,,logstash,jvm mem pools young used in bytes
logstash.jvm.mem.pools.young.peak_max_in_bytes,gauge,,bytes,,The peak maximum Java memory used in the Young generation.,,logstash,jvm mem pools young peak max in bytes
