metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name,curated_metric
mongodb.atlas.connections.current,gauge,,connection,,Number of current connections,0,mongodb_atlas,current connections,
mongodb.atlas.cursors.totalopen,gauge,,cursor,,Total number of open cursors,0,mongodb_atlas,total open cursors,
mongodb.atlas.mem.resident,gauge,,mebibyte,,Resident memory consumed by the MongoDB process on server,0,mongodb_atlas,resident memory,
mongodb.atlas.mem.virtual,gauge,,mebibyte,,Virtual memory consumed by the MongoDB process on server,0,mongodb_atlas,virtual memory,
mongodb.atlas.metrics.document.inserted,rate,60,document,second,Documents inserted,0,mongodb_atlas,documents inserted,
mongodb.atlas.metrics.document.updated,rate,60,document,second,Documents updated,0,mongodb_atlas,documents updated,
mongodb.atlas.metrics.document.deleted,rate,60,document,second,Documents deleted,0,mongodb_atlas,documents deleted,
mongodb.atlas.metrics.document.returned,rate,60,document,second,Documents returned,0,mongodb_atlas,documents returned,
mongodb.atlas.metrics.queryexecutor.scannedobjectsperreturned,gauge,,object,,Ratio measuring efficiency of queries on MongoDB,0,mongodb_atlas,scanned objects per returned,
mongodb.atlas.metrics.queryexecutor.scannedperreturned,gauge,,scan,,The ratio between the number of index items scanned and the number of documents returned by queries,0,mongodb_atlas,scanned per returned,
mongodb.atlas.opcounters.command,rate,60,operation,second,Command operations,0,mongodb_atlas,command operations,
mongodb.atlas.opcounters.delete,rate,60,operation,second,Delete operations,0,mongodb_atlas,delete operations,
mongodb.atlas.opcounters.getmore,rate,60,operation,second,Getmore operations,0,mongodb_atlas,getmore operations,
mongodb.atlas.opcounters.insert,rate,60,operation,second,Insert operations,0,mongodb_atlas,insert operations,
mongodb.atlas.opcounters.query,rate,60,operation,second,Query operations,0,mongodb_atlas,query operations,
mongodb.atlas.opcounters.update,rate,60,operation,second,Update operations,0,mongodb_atlas,update operations,
mongodb.atlas.opcountersrepl.command,rate,60,operation,second,Command replication operations,0,mongodb_atlas,command replication operations,
mongodb.atlas.opcountersrepl.delete,rate,60,operation,second,Delete replication operations,0,mongodb_atlas,delete replication operations,
mongodb.atlas.opcountersrepl.insert,rate,60,operation,second,Insert replication operations,0,mongodb_atlas,insert replication operations,
mongodb.atlas.opcountersrepl.update,rate,60,operation,second,Update replication operations,0,mongodb_atlas,update replication operations,
mongodb.atlas.oplatencies.commands.avg,gauge,,millisecond,,Command operations average latency,0,mongodb_atlas,read operations avg latency,
mongodb.atlas.oplatencies.reads.avg,gauge,,millisecond,,Read operations average latency,0,mongodb_atlas,read operations avg latency,
mongodb.atlas.oplatencies.writes.avg,gauge,,millisecond,,Write operations average latency,0,mongodb_atlas,read operations avg latency,
mongodb.atlas.replset.oplograte,gauge,3600,gibibyte,hour,Oplog churn,0,mongodb_atlas,oplog churn,
mongodb.atlas.replset.replicationlag,gauge,,second,,The amount of time in seconds that updates to the secondary delay behind updates to the primary,0,mongodb_atlas,replication lag,
mongodb.atlas.stats.totaldatasize,gauge,,byte,,Total data size across all databases,0,mongodb_atlas,total data size,
mongodb.atlas.stats.totalstoragesize,gauge,,byte,,Total storage space across all databases,0,mongodb_atlas,total storage size,
mongodb.atlas.system.cpu.mongoprocess.norm.childrenkernel,gauge,,percent,,Normalized CPU children kernel space for mongodb processes,0,mongodb_atlas,normalized cpu children kernel space for mongodb processes,
mongodb.atlas.system.cpu.mongoprocess.norm.childrenuser,gauge,,percent,,Normalized CPU children user space for mongodb processes,0,mongodb_atlas,normalized cpu children user space for mongodb processes,
mongodb.atlas.system.cpu.mongoprocess.norm.kernel,gauge,,percent,,Normalized CPU kernel space for mongodb processes,0,mongodb_atlas,normalized cpu kernel space for mongodb processes,
mongodb.atlas.system.cpu.mongoprocess.norm.user,gauge,,percent,,Normalized CPU user space for mongodb processes,0,mongodb_atlas,normalized cpu user space for mongodb processes,
mongodb.atlas.system.cpu.mongoprocess.norm.max.childrenkernel,gauge,,percent,,Max normalized CPU children kernel space for mongodb processes,0,mongodb_atlas,max normalized cpu children kernel space for mongodb processes,
mongodb.atlas.system.cpu.mongoprocess.norm.max.childrenuser,gauge,,percent,,Max normalized CPU children user space for mongodb processes,0,mongodb_atlas,max normalized cpu children user space for mongodb processes,
mongodb.atlas.system.cpu.mongoprocess.norm.max.kernel,gauge,,percent,,Max normalized CPU kernel space for mongodb processes,0,mongodb_atlas,max normalized cpu kernel space for mongodb processes,
mongodb.atlas.system.cpu.mongoprocess.norm.max.user,gauge,,percent,,Max normalized CPU user space for mongodb processes,0,mongodb_atlas,max normalized cpu user space for mongodb processes,
mongodb.atlas.system.cpu.norm.guest,gauge,,percent,,Normalized guest CPU usage for mongodb processes,0,mongodb_atlas,guest cpu usage for mongodb processes,
mongodb.atlas.system.cpu.norm.iowait,gauge,,percent,,Normalized iowait CPU utilization across various processes for a server,0,mongodb_atlas,normalized iowait cpu utilization,
mongodb.atlas.system.cpu.norm.irq,gauge,,percent,,Normalized irq CPU utilization across various processes for a server,0,mongodb_atlas,normalized irq cpu utilization,
mongodb.atlas.system.cpu.norm.kernel,gauge,,percent,,Normalized CPU kernel space utilization across various processes for a server,0,mongodb_atlas,normalized cpu kernel user space utilization,
mongodb.atlas.system.cpu.norm.nice,gauge,,percent,,Normalized nice CPU utilization across various processes for a server,0,mongodb_atlas,normalized nice cpu utilization,
mongodb.atlas.system.cpu.norm.softirq,gauge,,percent,,Normalized softirq CPU utilization across various processes for a server,0,mongodb_atlas,normalized softirq cpu utilization,
mongodb.atlas.system.cpu.norm.steal,gauge,,percent,,Normalized stolen CPU utilization across various processes for a server,0,mongodb_atlas,normalized stolen cpu utilization,
mongodb.atlas.system.cpu.norm.user,gauge,,percent,,Normalized CPU user space utilization across various processes for a server,0,mongodb_atlas,normalized cpu user space utilization,
mongodb.atlas.system.cpu.max.norm.guest,gauge,,percent,,Max normalized guest CPU usage for mongodb processes,0,mongodb_atlas,max guest cpu usage for mongodb processes,
mongodb.atlas.system.cpu.max.norm.iowait,gauge,,percent,,Max normalized iowait CPU utilization across various processes for a server,0,mongodb_atlas,max normalized iowait cpu utilization,
mongodb.atlas.system.cpu.max.norm.irq,gauge,,percent,,Max normalized irq CPU utilization across various processes for a server,0,mongodb_atlas,max normalized irq cpu utilization,
mongodb.atlas.system.cpu.max.norm.kernel,gauge,,percent,,Max normalized CPU kernel space utilization across various processes for a server,0,mongodb_atlas,max normalized cpu kernel user space utilization,
mongodb.atlas.system.cpu.max.norm.nice,gauge,,percent,,Max normalized nice CPU utilization across various processes for a server,0,mongodb_atlas,max normalized nice cpu utilization,
mongodb.atlas.system.cpu.max.norm.softirq,gauge,,percent,,Max normalized softirq CPU utilization across various processes for a server,0,mongodb_atlas,max normalized softirq cpu utilization,
mongodb.atlas.system.cpu.max.norm.steal,gauge,,percent,,Max normalized stolen CPU utilization across various processes for a server,0,mongodb_atlas,max normalized stolen cpu utilization,
mongodb.atlas.system.cpu.max.norm.user,gauge,,percent,,Max normalized CPU user space utilization across various processes for a server,0,mongodb_atlas,max normalized cpu user space utilization,
mongodb.atlas.system.disk.iops.percentutilization,gauge,,percent,,Percentage of time during which requests are being issued to and serviced by the disk partition. Includes requests from all processes not just MongoDB processes,0,mongodb_atlas,disk iops percent utilization,
mongodb.atlas.system.disk.max.iops.percentutilization,gauge,,percent,,The maximum Disk Utilization Percent value over the time period specified by the metric granularity,0,mongodb_atlas,max disk iops percent utilization,
mongodb.atlas.system.disk.iops.reads,rate,60,operation,second,Read throughput of I/O operations for the disk partition,0,mongodb_atlas,reads disk iops,
mongodb.atlas.system.disk.iops.total,rate,60,operation,second,Total throughput of I/O operations for the disk partition,0,mongodb_atlas,total disk iops,
mongodb.atlas.system.disk.iops.writes,rate,60,operation,second,Write throughput of I/O operations for the disk partition,0,mongodb_atlas,writes disk iops,
mongodb.atlas.system.disk.max.iops.reads,rate,60,operation,second,Max read throughput of I/O operations for the disk partition,0,mongodb_atlas,max read disk iops,
mongodb.atlas.system.disk.max.iops.total,rate,60,operation,second,Max total throughput of I/O operations for the disk partition,0,mongodb_atlas,max total disk iops,
mongodb.atlas.system.disk.max.iops.writes,rate,60,operation,second,Max write throughput of I/O operations for the disk partition,0,mongodb_atlas,max write disk iops,
mongodb.atlas.system.disk.space.free,gauge,,byte,,Free disk space on the disk partition,0,mongodb_atlas,free disk space,
mongodb.atlas.system.disk.space.percentfree,gauge,,percent,,Percentage of free disk space on the disk partition,0,mongodb_atlas,free disk space percentage,
mongodb.atlas.system.disk.space.percentused,gauge,,percent,,Percentage of used disk space on the disk partition,0,mongodb_atlas,used disk space percentage,
mongodb.atlas.system.disk.space.used,gauge,,byte,,Used disk space on the disk partition,0,mongodb_atlas,used disk space,
mongodb.atlas.system.disk.max.space.free,gauge,,byte,,Max free disk space on the disk partition,0,mongodb_atlas,max free disk space,
mongodb.atlas.system.disk.max.space.percentfree,gauge,,percent,,Max percentage of free disk space on the disk partition,0,mongodb_atlas,max free disk space percentage,
mongodb.atlas.system.disk.max.space.percentused,gauge,,percent,,Max percentage of used disk space on the disk partition,0,mongodb_atlas,max used disk space percentage,
mongodb.atlas.system.disk.max.space.used,gauge,,byte,,Max used disk space on the disk partition,0,mongodb_atlas,max used disk space,
mongodb.atlas.system.disk.queuedepth,gauge,,operation,,Average length of the queue of requests issued to the disk partition,0,mongodb_atlas,average length of queue depth,
mongodb.atlas.system.disk.max.queuedepth,gauge,,operation,,Max length of the queue of requests issued to the disk partition,0,mongodb_atlas,max length of queue depth,
mongodb.atlas.wiredtiger.cache.bytes_read_into_cache,rate,60,byte,second,Average rate of bytes per second read into WiredTiger's cache,0,mongodb_atlas,bytes read into cache,
mongodb.atlas.wiredtiger.cache.bytes_written_from_cache,rate,60,byte,second,Average rate of bytes per second written from WiredTiger's cache,0,mongodb_atlas,bytes written from cache,
mongodb.atlas.wiredtiger.cache.bytes_currently_in_cache,gauge,,byte,,Number of bytes currently in the WiredTiger cache,0,mongodb_atlas,bytes currently in cache,
mongodb.atlas.wiredtiger.cache.tracked_dirty_bytes_in_cache,gauge,,byte,,Number of tracked dirty bytes currently in the WiredTiger cache,0,mongodb_atlas,dirty bytes in cache,
mongodb.atlas.wiredtiger.concurrenttransactions.read.available,gauge,,operation,,Number of available read operations allowed into the storage engine,0,mongodb_atlas,concurrent reads available,
mongodb.atlas.wiredtiger.concurrenttransactions.write.available,gauge,,operation,,Number of available write operations allowed into the storage engine,0,mongodb_atlas,concurrent writes available,
mongodb.atlas.replstatus.health,gauge,,object,,A number that indicates if the member is up (1) or down (0),0,mongodb_atlas,health,
mongodb.atlas.replstatus.state,gauge,,object,,An integer between 0 and 10 that represents the replica state of the current member,0,mongodb_atlas,state,
mongodb.atlas.stats.totalindexsize,gauge,,byte,,Sum total size in bytes of the index data across all databases,0,mongodb_atlas,total index size,
mongodb.atlas.system.disk.latency.reads,rate,,millisecond,,The read latency in milliseconds of the disk partition used by MongoDB,0,mongodb_atlas,disk latency reads,
