Metric Name,First Submitted,Last Configured,Policy Applied
n8n.active.workflow.count,2025-11-24T16:39:26,-,-
n8n.api.request.duration.seconds.bucket,2025-12-19T14:25:07,-,-
n8n.api.request.duration.seconds.count,2025-11-24T16:38:27,-,-
n8n.api.request.duration.seconds.sum,2025-11-28T16:49:15,-,-
n8n.api.requests.count,-,-,-
n8n.cache.errors.count,2025-11-24T16:36:38,-,-
n8n.cache.hits.count,2025-11-24T16:36:38,-,-
n8n.cache.latency.seconds.bucket,2025-12-19T14:25:07,-,-
n8n.cache.latency.seconds.count,2025-11-24T16:36:38,-,-
n8n.cache.latency.seconds.sum,2025-11-24T16:36:38,-,-
n8n.cache.misses.count,2025-11-24T16:36:38,-,-
n8n.cache.operations.count,2025-11-24T16:36:38,-,-
n8n.eventbus.connections.total,2025-11-24T16:41:09,-,-
n8n.eventbus.events.count,2025-11-24T16:38:27,-,-
n8n.eventbus.events.failed.count,2025-11-24T16:34:32,-,-
n8n.eventbus.events.processed.count,2025-11-24T16:34:32,-,-
n8n.eventbus.queue.size,2025-11-24T16:36:38,-,-
n8n.http.request.duration.seconds.count,2025-11-24T16:38:27,-,-
n8n.http.request.duration.seconds.sum,2025-11-28T16:49:15,-,-
n8n.instance.role.leader,2025-11-24T16:39:26,-,-
n8n.last.activity,2025-11-24T16:37:54,-,-
n8n.nodejs.active.handles,2025-11-24T16:38:27,-,-
n8n.nodejs.active.handles.total,2025-11-24T16:38:27,-,-
n8n.nodejs.active.requests,2025-11-24T16:36:38,-,-
n8n.nodejs.active.requests.total,2025-11-24T16:41:16,-,-
n8n.nodejs.active.resources,2025-11-24T16:38:27,-,-
n8n.nodejs.active.resources.total,2025-11-28T16:49:15,-,-
n8n.nodejs.event.loop.lag.seconds,2025-11-24T16:38:27,-,-
n8n.nodejs.eventloop.lag.max.seconds,2025-11-24T16:36:38,-,-
n8n.nodejs.eventloop.lag.mean.seconds,2025-11-28T16:49:15,-,-
n8n.nodejs.eventloop.lag.min.seconds,2025-11-24T16:37:54,-,-
n8n.nodejs.eventloop.lag.p50.seconds,2025-11-28T16:49:15,-,-
n8n.nodejs.eventloop.lag.p90.seconds,2025-11-24T16:39:26,-,-
n8n.nodejs.eventloop.lag.p99.seconds,2025-11-28T16:49:15,-,-
n8n.nodejs.eventloop.lag.seconds,2025-11-24T16:51:05,-,-
n8n.nodejs.eventloop.lag.stddev.seconds,2025-11-24T16:34:32,-,-
n8n.nodejs.external.memory.bytes,2025-11-28T16:48:16,-,-
n8n.nodejs.gc.duration.seconds.bucket,2025-12-19T14:25:07,-,-
n8n.nodejs.gc.duration.seconds.count,2025-11-28T16:49:15,-,-
n8n.nodejs.gc.duration.seconds.sum,2025-11-24T16:41:09,-,-
n8n.nodejs.heap.size.total.bytes,2025-11-24T16:36:38,-,-
n8n.nodejs.heap.size.used.bytes,2025-11-24T16:38:27,-,-
n8n.nodejs.heap.space.size.available.bytes,2025-11-24T16:36:38,-,-
n8n.nodejs.heap.space.size.total.bytes,2025-11-24T16:34:32,-,-
n8n.nodejs.heap.space.size.used.bytes,-,-,-
n8n.nodejs.heap.total.bytes,2025-11-24T16:39:26,-,-
n8n.nodejs.heap.used.bytes,2025-11-24T16:34:32,-,-
n8n.process.cpu.seconds.count,2025-11-24T16:34:32,-,-
n8n.process.cpu.system.seconds.count,2025-11-24T16:38:27,-,-
n8n.process.cpu.user.seconds.count,2025-11-24T16:41:09,-,-
n8n.process.heap.bytes,2025-11-24T16:34:32,-,-
n8n.process.max.fds,2025-11-24T16:36:38,-,-
n8n.process.open.fds,2025-11-24T16:39:26,-,-
n8n.process.resident.memory.bytes,2025-11-24T16:39:26,-,-
n8n.process.start.time.seconds,2025-11-24T16:38:27,-,-
n8n.process.uptime.seconds,2025-12-19T14:25:07,-,-
n8n.process.virtual.memory.bytes,2025-11-28T16:49:15,-,-
n8n.queue.job.active.total,2025-11-24T16:36:38,-,-
n8n.queue.job.attempts.count,2025-11-24T16:36:38,-,-
n8n.queue.job.completed.count,2025-11-24T16:36:38,-,-
n8n.queue.job.delayed.total,2025-11-28T16:49:15,-,-
n8n.queue.job.dequeued.count,2025-11-24T16:41:16,-,-
n8n.queue.job.enqueued.count,2025-11-24T16:36:38,-,-
n8n.queue.job.failed.count,2025-11-24T16:39:26,-,-
n8n.queue.job.waiting.duration.seconds.bucket,2025-12-19T14:25:07,-,-
n8n.queue.job.waiting.duration.seconds.count,2025-11-24T16:38:27,-,-
n8n.queue.job.waiting.duration.seconds.sum,2025-11-24T16:34:32,-,-
n8n.queue.job.waiting.total,2025-11-24T16:38:27,-,-
n8n.queue.jobs.count,2025-11-24T16:41:16,-,-
n8n.queue.jobs.duration.seconds.bucket,2025-12-19T14:25:07,-,-
n8n.queue.jobs.duration.seconds.count,2025-11-24T16:39:26,-,-
n8n.queue.jobs.duration.seconds.sum,2025-11-24T16:38:27,-,-
n8n.readiness.check,2025-12-19T14:25:07,-,-
n8n.workflow.executions.active,2025-11-24T16:34:32,-,-
n8n.workflow.executions.count,2025-11-24T16:36:38,-,-
n8n.workflow.executions.duration.seconds.bucket,2025-12-19T14:25:07,-,-
n8n.workflow.executions.duration.seconds.count,2025-11-24T16:41:09,-,-
n8n.workflow.executions.duration.seconds.sum,2025-11-24T16:38:27,-,-
n8n.workflow.failed.count,2025-11-24T16:38:27,-,-
n8n.workflow.started.count,2025-11-24T16:36:38,-,-
n8n.workflow.success.count,-,-,-
