metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name,curated_metric
<prefix>.dbms.pool.<pool>.free,gauge,,,,"Available unused memory in the pool, in bytes.",0,neo4j,dbms pool free,
<prefix>.dbms.pool.<pool>.total_size,gauge,,,,Sum total size of capacity of the heap and/or native memory pool.,0,neo4j,dbms pool total size,
<prefix>.dbms.pool.<pool>.total_used,gauge,,,,Sum total used heap and native memory in bytes.,0,neo4j,dbms pool total used,
<prefix>.dbms.pool.<pool>.used_heap,gauge,,,,Used or reserved heap memory in bytes.,0,neo4j,dbms pool used heap,
<prefix>.dbms.pool.<pool>.used_native,gauge,,,,Used or reserved native memory in bytes.,0,neo4j,dbms pool used native,
neo4j.database.<dbname>.check_point.events,counter,,,,The total number of check point events executed so far.,0,neo4j,check point events,
neo4j.database.<dbname>.check_point.io_limit,gauge,,,,The IO limit used during the last check point event.,0,neo4j,check point IO limit,
neo4j.database.<dbname>.check_point.io_performed,gauge,,,,The number of IOs from Neo4j perspective performed during the last check point event.,0,neo4j,check point IO performed,
neo4j.database.<dbname>.check_point.pages_flused,gauge,,,,The number of pages that were flushed during the last check point event.,0,neo4j,check point pages flushed,
neo4j.database.<dbname>.check_point.total_time,counter,,,,"The total time, in millseconds, spent in check pointing so far.",0,neo4j,check point total time,
neo4j.database.<dbname>.count.node,gauge,,,,The total number of nodes in the databases.,0,neo4j,node count,
neo4j.database.<dbname>.cypher.cache.ast.entries.csv,gauge,,,,The number of cypher cache AST entries,0,neo4j,cypher cache AST entries,
neo4j.database.<dbname>.cypher.cache.executable_query.entries,gauge,,,,The number of cypher cache executable query entries.,0,neo4j,cypher cache executable plan entries,
neo4j.database.<dbname>.cypher.cache.execution_plan.entries,gauge,,,,The number of cypher cache execution plan entries.,0,neo4j,cypher cache execution plan entries,
neo4j.database.<dbname>.cypher.cache.logical_plan.entries,gauge,,,,The number of cypher cache logical plan entries.,0,neo4j,cypher cache logical plan entries,
