metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name
nomad.client.host.memory.total,gauge,,mebibyte,,Total amount of memory for a client,0,nomad,total host memory
nomad.client.host.memory.available,gauge,,mebibyte,,Amount of memory available for a client,0,nomad,available host memory
nomad.client.host.memory.used,gauge,,mebibyte,,Amount of memory used for a client,0,nomad,memory used
nomad.client.host.memory.free,gauge,,mebibyte,,Amount of memory free for a client,0,nomad,memory free
nomad.client.host.cpu.total,gauge,,megahertz,,Amount of CPU total for a client,0,nomad,total cpu
nomad.client.host.cpu.user,gauge,,megahertz,,Amount of CPU total for a client,0,nomad,cpu user
nomad.client.host.cpu.idle,gauge,,megahertz,,Amount of CPU idle for a client,0,nomad,cpu idle
nomad.client.host.cpu.system,gauge,,megahertz,,Amount of CPU consumed by the system for a client,0,nomad,cpu system
nomad.client.host.disk.size,gauge,,mebibyte,,Disk size for a particular client,0,nomad,disk size
nomad.client.host.disk.used,gauge,,mebibyte,,Disk used for a particular client,0,nomad,disk used
nomad.client.host.disk.available,gauge,,mebibyte,,Disk available for a particular client,0,nomad,disk available
nomad.client.host.disk.used_percent,gauge,,mebibyte,,Disk used as a percentage for a particular client,0,nomad,percent disk used
nomad.client.host.disk.inodes_percent,gauge,,mebibyte,,Disk nodes used as a percentage for a particular client,0,nomad,percent inodes
nomad.client.allocated.memory,gauge,,mebibyte,,Amount of memory allocated for a client,0,nomad,allocated memory
nomad.client.allocated.disk,gauge,,mebibyte,,Amount of disk allocated for a client,0,nomad,allocated disk
nomad.client.allocated.cpu,gauge,,megahertz,,Amount of CPU allocated for a client,0,nomad,allocated cpu
nomad.client.allocated.iops,gauge,,operation,,Number of iops allocated for a client,0,nomad,allocated iops
nomad.client.unallocated.memory,gauge,,mebibyte,,Amount of unallocated memory for a client,0,nomad,unallocted memory
nomad.client.unallocated.disk,gauge,,mebibyte,,Amount of unallocated disk for a client,0,nomad,unallocated disk
nomad.client.unallocated.cpu,gauge,,megahertz,,Amount of unallocated CPU for a client,0,nomad,unallocated cpu
nomad.client.unallocated.iops,gauge,,operation,,Number of unallocated iops for a client,0,nomad,unallocated iops
nomad.client.allocations.migrating,gauge,,job,,Number of allocations migrating for a client,0,nomad,allocations migrating
nomad.client.allocations.blocked,gauge,,job,,Number of allocations blocked for a client,0,nomad,allocations blocked
nomad.client.allocations.pending,gauge,,job,,Number of allocations pending for a client,0,nomad,allocations pending
nomad.client.allocations.running,gauge,,job,,Number of allocations running for a client,0,nomad,allocations running
nomad.client.allocations.terminal,gauge,,job,,Number of allocations terminated for a client,0,nomad,allocations terminal
nomad.client.allocated.network,gauge,,megabits,,Bandwidth allocatoin for a client,0,nomad,allocated network
