metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name
nvml.gpu_utilization,guage,,percent,,Percent of time over the past sample period during which one or more kernels was executing on the GPU.,0,nvml,gpu_utilization
nvml.mem_copy_utilization,guage,,percent,,Percent of time over the past sample period during which global (device) memory was being read or written.,0,nvml,gpu_mem_utilization
nvml.fb_free,guage,,bytes,,Unallocated FB memory.,0,nvml,fb_memory_free
nvml.fb_used,guage,,bytes,,Allocated FB memory.,0,nvml,rb_memory_allocated
nvml.fb_total,guage,,bytes,,Total installed FB memory.,0,nvml,fb_memory_total
nvml.power_usage,guage,,milliwatts,,Power usage for this GPU in milliwatts and its associated circuitry (e.g. memory),0,nvml,power_usage
nvml.total_energy_consumption,monotonic_count,,millijoules,,Total energy consumption for this GPU in millijoules (mJ) since the driver was last reloaded,0,nvml,energy_consumption
nvml.enc_utilization,gauge,,percent,,The current utilization for the Encoder,0,nvml,encoder_utilization
nvml.dec_utilization,gauge,,percent,,The current utilization for the Decoder,0,nvml,decoder_utilization
nvml.pcie_tx_throughput,gauge,,kibibyte,second,PCIe TX utilization,0,nvml,TX_utilization
nvml.pcie_rx_throughput,gauge,,kibibyte,second,PCIe RX utilization,0,nvml,RX_utilization
