metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name,curated_metric
php_opcache.opcache_enabled,gauge,,,,opcache enable flag,0,php_opcache,opcache enable,
php_opcache.cache_full,gauge,,,,cache full time,-1,php_opcache,cache full,
php_opcache.restart_pending,gauge,,,,a restart pending,-1,php_opcache,restart pend,
php_opcache.restart_in_progress,gauge,,,,restart in progress,-1,php_opcache,restart in progress,
php_opcache.memory_usage.used_memory,gauge,,byte,,used memory size,0,php_opcache,mem size,
php_opcache.memory_usage.free_memory,gauge,,byte,,free memory,0,php_opcache,free mem,
php_opcache.memory_usage.wasted_memory,gauge,,byte,,wasted memory,-1,php_opcache,wasted mem,
php_opcache.memory_usage.current_wasted_percentage,gauge,,percent,,current wasted percentage,0,php_opcache,waste percent,
php_opcache.interned_strings_usage.buffer_size,gauge,,byte,,interned string buffer size,0,php_opcache,interned string buffer,
php_opcache.interned_strings_usage.used_memory,gauge,,byte,,interned string used memory,0,php_opcache,interned string used mem,
php_opcache.interned_strings_usage.free_memory,gauge,,byte,,interned string free memory,0,php_opcache,interned string free mem,
php_opcache.interned_strings_usage.number_of_strings,gauge,,byte,,interned string number of string,0,php_opcache,interned string usage,
php_opcache.opcache_statistics.num_cached_scripts,gauge,,item,,num cached script,0,php_opcache,num cached script,
php_opcache.opcache_statistics.num_cached_keys,gauge,,item,,num cached keys,0,php_opcache,num cached keys,
php_opcache.opcache_statistics.max_cached_keys,gauge,,item,,max cached keys,0,php_opcache,max cached keys,
php_opcache.opcache_statistics.hits,gauge,,hit,,cache hit,0,php_opcache,cache hit,
php_opcache.opcache_statistics.start_time,gauge,,time,,cache start time,0,php_opcache,start time,
php_opcache.opcache_statistics.last_restart_time,gauge,,time,,last restart time,0,php_opcache,last restart time,
php_opcache.opcache_statistics.oom_restarts,gauge,,occurrence,,oom restart count,-1,php_opcache,oom restarts,
php_opcache.opcache_statistics.hash_restarts,gauge,,occurrence,,hash restart count,-1,php_opcache,hash restarts,
php_opcache.opcache_statistics.manual_restarts,gauge,,occurrence,,description,-1,php_opcache,manual restarts,
php_opcache.opcache_statistics.misses,gauge,,miss,,number of cache miss,0,php_opcache,cache miss,
php_opcache.opcache_statistics.blacklist_misses,gauge,,miss,,number of black list misses,0,php_opcache,black list miss,
php_opcache.opcache_statistics.blacklist_miss_ratio,gauge,,percent,,percent of black list miss ratio,0,php_opcache,black list miss ratio,
php_opcache.opcache_statistics.opcache_hit_rate,gauge,,percent,,percent of hit ratio,0,php_opcache,hit ratio,
