metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name,curated_metric
portworx.px_backup_stats_backup_status,gauge,,,,"Status for this backup (0=InProgress,1=Done,2=Failed)",0,portworx,backup status,
portworx.px_backup_stats_backup_size,gauge,,byte,,Size in bytes for this backup,0,portworx,backup size,
portworx.px_backup_stats_backup_duration_seconds,gauge,,second,,Duration in seconds for this backup,0,portworx,backup duration seconds,
portworx.px_backup_stats_backup_uploaded_bytes_mbs,gauge,,byte,,Delta bytes uploaded in MB/s from last interval for this backup,0,portworx,backup uploaded bytes mbs,
portworx.px_backup_stats_download_size_bytes,gauge,,byte,,Size of downloaded bytes during backup/restore from cloud,0,portworx,backup download size bytes,
portworx.px_backup_stats_upload_size_bytes,gauge,,byte,,Size of uploaded bytes during backup/restore from cloud,0,portworx,backup upload size bytes,
portworx.px_backup_stats_get_apis_invoked,gauge,,,,Number of times GET API was invoked,0,portworx,backup get apis invoked,
portworx.px_backup_stats_put_apis_invoked,gauge,,,,Number of times PUT API was invoked,0,portworx,backup put apis invoked,
portworx.px_cluster_cpu_percent,gauge,,percent,,Percentage of CPU Used,0,portworx,cluster cpu percent,
portworx.px_cluster_memory_utilized_percent,gauge,,percent,,Percentage of memory utilization,0,portworx,cluster memory utilized percent,
portworx.px_cluster_disk_total_bytes,gauge,,byte,,Total storage space in bytes for this node,0,portworx,cluster disk total bytes,
portworx.px_cluster_disk_available_bytes,gauge,,byte,,Available storage space in bytes for this node,0,portworx,cluster disk available bytes,
portworx.px_cluster_disk_utilized_bytes,gauge,,byte,,Utilized storage space in bytes for this node,0,portworx,cluster disk utilized bytes,
portworx.px_cluster_pendingio,gauge,,,,Number of read and write operations currently in progress for this node,0,portworx,cluster pendingio,
portworx.px_cluster_trashcan_volumes,gauge,,,,Number of volumes currently in the trashcan,0,portworx,cluster trashcan volumes,
portworx.px_cluster_status_cluster_size,gauge,,,,Node count for your Portworx cluster. **Deprecated**.,0,portworx,cluster status cluster size,
portworx.px_cluster_status_size,gauge,,,,Node count for your Portworx cluster,0,portworx,cluster status size,
portworx.px_cluster_status_cluster_quorum,gauge,,,,Indicates if the cluster is in quorum. **Deprecated**.,0,portworx,cluster status cluster quorum,
portworx.px_cluster_status_quorum,gauge,,,,Indicates if the cluster is in quorum,0,portworx,cluster status quorum,
portworx.px_cluster_status_nodes_online,gauge,,,,Number of online nodes in the cluster (includes storage and storageless),0,portworx,cluster status nodes online,
portworx.px_cluster_status_nodes_offline,gauge,,,,Number of offline nodes in the cluster (includes storage and storageless),0,portworx,cluster status nodes offline,
portworx.px_cluster_status_nodes_storage_down,gauge,,,,Number of nodes where the storage is full or down,0,portworx,cluster status nodes storage down,
portworx.px_cluster_status_storage_nodes_online,gauge,,,,Number of storage nodes that are online,0,portworx,cluster status storage nodes online,
portworx.px_cluster_status_storage_nodes_offline,gauge,,,,Number of storage nodes that are offline,0,portworx,cluster status storage nodes offline,
portworx.px_cluster_status_storage_nodes_decommissioned,gauge,,,,Number of storage nodes that are decommissioned,0,portworx,cluster status storage nodes decommissioned,
portworx.px_device_delete_delete_after_discard_enabled,gauge,,,,This is 1 if NBDD is enabled,0,portworx,device delete after discard enabled,
portworx.px_device_delete_discard_bytes_total,count,,byte,,Total bytes discarded across discard requests,0,portworx,device delete discard bytes,
portworx.px_device_delete_discard_duration_msec_total,count,,millisecond,,Total time spent for discard requests,0,portworx,device delete discard duration msec,
portworx.px_device_delete_discard_errors_total,count,,,,Total errors across discard requests,0,portworx,device delete discard errors,
portworx.px_device_delete_discard_operations_total,count,,,,Total number of discard requests ,0,portworx,device delete discard operations,
portworx.px_device_delete_operations_completed_total,count,,,,Total number of delete operations completed,0,portworx,device delete operations completed,
portworx.px_device_delete_operations_inprogress,gauge,,,,Current operations in progress,0,portworx,device delete operations inprogress,
portworx.px_device_delete_operations_queued,gauge,,,,Current operations queued,0,portworx,device delete operations queued,
portworx.px_disk_stats_used_bytes,gauge,,byte,,Total storage in bytes for this disk,0,portworx,disk used bytes,
portworx.px_disk_stats_interval_seconds,gauge,,second,,Length of the disk stats sampling interval in seconds,0,portworx,disk interval seconds,
portworx.px_disk_stats_io_seconds,gauge,,second,,Time spent doing IO in seconds for this disk,0,portworx,disk io seconds,
portworx.px_disk_stats_progress_io,gauge,,,,I/O operations currently in progress for this disk,0,portworx,disk progress io,
portworx.px_disk_stats_disk_read_bytes,gauge,,byte,,Total bytes read for this disk. **Deprecated**.,0,portworx,disk read bytes,
portworx.px_disk_stats_read_bytes,gauge,,byte,,Total bytes read for this disk,0,portworx,disk read bytes,
portworx.px_disk_stats_write_bytes_seconds,gauge,,byte,,Total written bytes for this disk. **Deprecated**.,0,portworx,disk write bytes seconds,
portworx.px_disk_stats_written_bytes,gauge,,byte,,Total written bytes for this disk,0,portworx,disk written bytes,
portworx.px_disk_stats_read_seconds,gauge,,second,,Total time spend reading in seconds for this disk,0,portworx,disk read seconds,
portworx.px_disk_stats_write_seconds,gauge,,second,,Total time spend writing in seconds for this disk,0,portworx,disk write seconds,
portworx.px_disk_stats_read_latency_seconds,gauge,,second,,Average time spent per read operation in seconds for this disk,0,portworx,disk read latency seconds,
portworx.px_disk_stats_write_latency,gauge,,second,,Average time spent per write operation in seconds for this disk. **Deprecated**.,0,portworx,disk write latency,
portworx.px_disk_stats_write_latency_seconds,gauge,,second,,Average time spent per write operation in seconds for this disk,0,portworx,disk write latency seconds,
portworx.px_disk_stats_disk_num_reads,gauge,,,,Total number of read operations completed successfully for this disk. **Deprecated**.,0,portworx,disk num reads,
portworx.px_disk_stats_disk_num_writes,gauge,,,,Total number of write operations completed successfully for this disk. **Deprecated**.,0,portworx,disk num writes,
portworx.px_disk_stats_num_reads,gauge,,,,Total number of read operations completed successfully for this disk,0,portworx,disk num reads,
portworx.px_disk_stats_num_writes,gauge,,,,Total number of write operations completed successfully for this disk,0,portworx,disk num writes,
portworx.px_disk_stats_num_reads_total,count,,,,Total number of read operations completed successfully for this disk,0,portworx,disk num reads,
portworx.px_disk_stats_num_writes_total,count,,,,Total number of write operations completed successfully for this disk,0,portworx,disk num writes,
portworx.px_disk_stats_written_bytes_total,count,,byte,,Total bytes written for this disk,0,portworx,disk written bytes,
portworx.px_disk_stats_read_bytes_total,count,,byte,,Total bytes read for this disk,0,portworx,disk read bytes,
portworx.px_disk_stats_read_seconds_total,count,,second,,Total time spend reading in seconds for this disk,0,portworx,disk read seconds,
portworx.px_disk_stats_write_seconds_total,count,,second,,Total time spend writing in seconds for this disk,0,portworx,disk write seconds,
portworx.px_fafb_apis_requests_total,count,,,,Total number of API requests made to all the configured FA/FB endpoints,0,portworx,fafb apis requests,
portworx.px_fafb_apis_array_requests_total,count,,,,Total number of API requests made to the /arrays endpoint.,0,portworx,fafb apis array requests,
portworx.px_fafb_apis_login_requests_total,count,,,,Total number of API requests made to the /login endpoint.,0,portworx,fafb apis login requests,
portworx.px_fafb_apis_controllers_requests_total,count,,,,Total number of API requests made to the /controllers endpoint,0,portworx,fafb apis controllers requests,
portworx.px_fafb_apis_alerts_requests_total,count,,,,Total number of API requests made to the /alerts endpoint,0,portworx,fafb apis alerts requests,
portworx.px_fafb_apis_ports_requests_total,count,,,,Total number of API requests made to the /ports endpoint,0,portworx,fafb apis ports requests,
portworx.px_fafb_apis_volumes_requests_total,count,,,,Total number of API requests made to the /volumes endpoint,0,portworx,fafb apis volumes requests,
portworx.px_fafb_apis_volumesnapshots_requests_total,count,,,,Total number of API requests made to the /volume-snapshots endpoint,0,portworx,fafb apis volumesnapshots requests,
portworx.px_fafb_apis_hosts_requests_total,count,,,,Total number of API requests made to the /hosts endpoint,0,portworx,fafb apis hosts requests,
portworx.px_fafb_apis_connections_requests_total,count,,,,Total number of API requests made to the /connections endpoint,0,portworx,fafb apis connections requests,
portworx.px_fafb_apis_version_requests_total,count,,,,Total number of API requests made to the /api_version endpoint,0,portworx,fafb apis version requests,
portworx.px_kvdb_get_requests_total,count,,,,Total number of get requests for a key,0,portworx,kvdb get requests,
portworx.px_kvdb_snapshot_requests_total,count,,,,Total number of kvdb snapshot requests for a list of prefixes,0,portworx,kvdb snapshot requests,
portworx.px_kvdb_put_requests_total,count,,,,Total number of put requests for a key,0,portworx,kvdb put requests,
portworx.px_kvdb_create_requests_total,count,,,,Total number of create requests for a key,0,portworx,kvdb create requests,
portworx.px_kvdb_update_requests_total,count,,,,Total number of update requests for a key,0,portworx,kvdb update requests,
portworx.px_kvdb_enumerate_requests_total,count,,,,Total number of enumerate requests for a key,0,portworx,kvdb enumerate requests,
portworx.px_kvdb_delete_requests_total,count,,,,Total number of delete requests for a key,0,portworx,kvdb delete requests,
portworx.px_kvdb_keys_requests_total,count,,,,Total number of list key requests for a prefix,0,portworx,kvdb keys requests,
portworx.px_kvdb_cas_requests_total,count,,,,Total number of compare and sets for a key,0,portworx,kvdb cas requests,
portworx.px_kvdb_cad_requests_total,count,,,,Total number of compare and deletes for a key,0,portworx,kvdb cad requests,
portworx.px_kvdb_lock_requests_total,count,,,,Total number of lock requests for a key,0,portworx,kvdb lock requests,
portworx.px_kvdb_unlock_requests_total,count,,,,Total number of unlock requests for a key,0,portworx,kvdb unlock requests,
portworx.px_kvdb_watchkey_requests_total,count,,,,Total number of watch requests for a key from a node,0,portworx,kvdb watchkey requests,
portworx.px_kvdb_watchtree_requests_total,count,,,,Total number of watch requests for a prefix from a node,0,portworx,kvdb watchtree requests,
portworx.px_kvdb_adduser_requests_total,count,,,,Total number of add user requests,0,portworx,kvdb adduser requests,
portworx.px_kvdb_removeuser_requests_total,count,,,,Total number of remove user requests,0,portworx,kvdb removeuser requests,
portworx.px_kvdb_grantuser_access_requests_total,count,,,,Total number of grant access requests for a user,0,portworx,kvdb grantuser access requests,
portworx.px_kvdb_revokeuser_access_requests_total,count,,,,Total number of revoke access requests for a user,0,portworx,kvdb revokeuser access requests,
portworx.px_kvdb_addmember_requests_total,count,,,,Total number of add member requests from a node,0,portworx,kvdb addmember requests,
portworx.px_kvdb_addlearner_requests_total,count,,,,Total number of add learner requests from a node,0,portworx,kvdb addlearner requests,
portworx.px_kvdb_removemember_requests_total,count,,,,Total number of remove member requests from a node,0,portworx,kvdb removemember requests,
portworx.px_kvdb_updatemember_requests_total,count,,,,Total number of update member requests from a node,0,portworx,kvdb updatemember requests,
portworx.px_kvdb_listmembers_requests_total,count,,,,Total number of list member requests from a node,0,portworx,kvdb listmembers requests,
portworx.px_kvdb_setendpoints_requests_total,count,,,,Total number of set endpoint requests from a node,0,portworx,kvdb setendpoints requests,
portworx.px_kvdb_getendpoints_requests_total,count,,,,Total number of get endpoint requests from a node,0,portworx,kvdb getendpoints requests,
portworx.px_kvdb_defragment_requests_total,count,,,,Total number of defragment requests from a node,0,portworx,kvdb defragment requests,
portworx.px_kvdb_watch_latency_seconds,gauge,,second,,Time taken in seconds between a kvdb put and a corresponding watch update,0,portworx,kvdb watch latency seconds,
portworx.px_kvdb_health_state_node_view,gauge,,,,"This node's kvdb state (1 = healthy, 2 = not healthy)",0,portworx,kvdb health state node view,
portworx.px_kvdb_health_state_cluster_view,gauge,,,,"This node's view of other node's kvdb state (1 = healthy, 2 = not healthy)",0,portworx,kvdb health state cluster view,
portworx.px_network_io_bytessent,gauge,,byte,,Number of bytes sent during this interval,0,portworx,network io bytessent,
portworx.px_network_io_received_bytes,gauge,,byte,,Number of bytes received during this interval,0,portworx,network io received bytes,
portworx.px_network_io_sent_bytes_total,count,,byte,,Total number of bytes sent,0,portworx,network io sent bytes,
portworx.px_network_io_received_bytes_total,count,,byte,,Total number of bytes received,0,portworx,network io received bytes,
portworx.px_network_io_reservation_waits,gauge,,,,Total number of SM waits for reservation,0,portworx,network io reservation waits,
portworx.px_network_io_reservation_wake_ups,gauge,,,,Total number of SM wake ups after getting the reservation,0,portworx,network io reservation wake ups,
portworx.px_nfs_pool_stats_packets_arrived,gauge,,,,Counts the number of NFS packets arrived on the socket.,0,portworx,nfs pool packets arrived,
