metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name
PostmanMonitor_errors,gauge,,,,No of errors in an API run,0,Postman,
PostmanMonitor_failedTests,gauge,,,,No of failed tests in an API run,0,Postman,
PostmanMonitor_passedTests,gauge,,,,No of passed tests in an API run,0,Postman,
PostmanMonitor_requestCount,gauge,,,,No of requests in an API/ Postman monitor,0,Postman,
PostmanMonitor_totalLatency,gauge,,,,Total latency of the API/ Postman monitor run,0,Postman,
PostmanMonitor_request_bytes,gauge,,,,Total bytes sent and received corresponding to each request in Postman monitor run,0,Postman,
PostmanMonitor_request_failedTest,gauge,,,,No of failed tests corresponding to each request in Postman monitor run,0,Postman,
PostmanMonitor_request_passedTest,gauge,,,,No of passed tests corresponding to each request in Postman monitor run,0,Postman,
PostmanMonitor_request_latency,gauge,,,,Latency corresponding to each request in Postman monitor run,0,Postman,
PostmanMonitor_run_httpStatus2XX,gauge,,,,No of requests that return HTTP response status code of 200 series in an API/ Postman Monitor run,0,Postman,
PostmanMonitor_run_httpStatus4XX,gauge,,,,No of requests that return HTTP response status code of 400 series in an API/ Postman Monitor run,0,Postman,
PostmanMonitor_run_httpStatus5XX,gauge,,,,No of requests that return HTTP response status code of 500 series in an API/ Postman Monitor run,0,Postman,


