metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name,curated_metric
purefa.alerts.total,gauge,,,,Number of alert events,-1,purefa,alerts total,
purefa.array.performance_avg_block_bytes,gauge,,byte,,FlashArray avg block size,0,purefa,array performance avg block bytes,
purefa.array.performance_bandwidth_bytes,gauge,,byte,second,FlashArray bandwidth,0,purefa,array performance bandwidth bytes,
purefa.array.performance_iops,gauge,,operation,second,FlashArray IOPS,0,purefa,array performance iops,
purefa.array.performance_latency_usec,gauge,,microsecond,,FlashArray latency,-1,purefa,array performance latency usec,
purefa.array.performance_qdepth,gauge,,,,FlashArray queue depth,0,purefa,array performance qdepth,
purefa.array.space_capacity_bytes,gauge,,byte,,FlashArray overall space capacity,0,purefa,array space capacity bytes,
purefa.array.space_datareduction_ratio,gauge,,,,FlashArray overall data reduction,0,purefa,array space datareduction ratio,
purefa.array.space_provisioned_bytes,gauge,,byte,,FlashArray overall provisioned space,0,purefa,array space provisioned bytes,
purefa.array.space_used_bytes,gauge,,byte,,FlashArray overall used space,0,purefa,array space used bytes,
purefa.hardware.chassis_health,gauge,,,,FlashArray hardware chassis health status,0,purefa,hardware chassis health,
purefa.hardware.component_health,gauge,,,,FlashArray hardware component health status,0,purefa,hardware component health,
purefa.hardware.controller_health,gauge,,,,FlashArray hardware controller health status,0,purefa,hardware controller health,
purefa.hardware.power_volts,gauge,,volt,,FlashArray hardware power supply voltage,0,purefa,hardware power volts,
purefa.hardware.temperature_celsius,gauge,,degree celsius,,FlashArray hardware temperature sensors,0,purefa,hardware temperature celsius,
purefa.host.performance_bandwidth_bytes,gauge,,byte,second,FlashArray host bandwidth,0,purefa,host performance bandwidth bytes,
purefa.host.performance_iops,gauge,,operation,second,FlashArray host IOPS,0,purefa,host performance iops,
purefa.host.performance_latency_usec,gauge,,microsecond,,FlashArray host IO latency,-1,purefa,host performance latency usec,
purefa.host.space_bytes,gauge,,byte,,FlashArray host volumes allocated space,0,purefa,host space bytes,
purefa.host.space_datareduction_ratio,gauge,,,,FlashArray host volumes data reduction ratio,0,purefa,host space datareduction ratio,
purefa.host.space_size_bytes,gauge,,byte,,FlashArray host volumes size,0,purefa,host space size bytes,
purefa.info,gauge,,,,FlashArray host volumes connections,0,purefa,info,
purefa.pod.mediator_status,gauge,,,,FlashArray pod mediatorstatus,0,purefa,pod mediator status,
purefa.pod.performance_bandwidth_bytes,gauge,,byte,,FlashArray pod bandwidth,0,purefa,pod performance bandwidth bytes,
purefa.pod.performance_iops,gauge,,operation,second,FlashArray pod IOPS,0,purefa,pod performance iops,
purefa.pod.performance_latency_usec,gauge,,microsecond,,FlashArray pod IO latency,-1,purefa,pod performance latency usec,
purefa.pod.space_bytes,gauge,,byte,,FlashArray pod size,0,purefa,pod space bytes,
purefa.pod.space_datareduction_ratio,gauge,,,,FlashArray pod data reduction ratio,0,purefa,pod space datareduction ratio,
purefa.pod.space_size_bytes,gauge,,byte,,FlashArray pod size,0,purefa,pod space size bytes,
purefa.pod.status,gauge,,,,FlashArray pod status,0,purefa,pod status,
purefa.volume.performance_iops,gauge,,operation,second,FlashArray volume IOPS,0,purefa,volume performance iops,
purefa.volume.performance_latency_usec,gauge,,microsecond,,FlashArray volume IO latency,-1,purefa,volume performance latency usec,
purefa.volume.performance_throughput_bytes,gauge,,byte,second,FlashArray volume throughput,0,purefa,volume performance throughput bytes,
purefa.volume.space_bytes,gauge,,byte,,FlashArray allocated space,0,purefa,volume space bytes,
purefa.volume.space_datareduction_ratio,gauge,,,,FlashArray volumes data reduction ratio,0,purefa,volume space datareduction ratio,
purefa.volume.space_size_bytes,gauge,,byte,,FlashArray volumes size,0,purefa,volume space size bytes,
