metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name,curated_metric
redpanda.application.build,gauge,,,,"Build information for Redpanda, including the revision and version details",0,redpanda,application build
redpanda.application.fips_mode,gauge,,,,"Indicates whether Redpanda is running in FIPS mode. Possible values: 0 = disabled, 1 = permissive, 2 = enabled",0,redpanda,fips mode
redpanda.application.uptime,gauge,,second,,Redpanda uptime in seconds,0,redpanda,application uptime
redpanda.authorization.result,count,,,,"Cumulative count of authorization results, categorized by result type.",0,redpanda,authorization result
redpanda.cloud.client_backoff,count,,operation,,Total number of requests that backed off,-1,redpanda,cloud client backoff
redpanda.cloud.client_pool_utilization,gauge,,,,"Current utilization (as a percentage, 0–100) of the object storage client pool.",-1,redpanda,cloud client pool utilization
redpanda.cloud.client_download_backoff,count,,operation,,Total number of download requests that backed off,-1,redpanda,cloud client download backoff
redpanda.cloud.client_downloads,count,,,,Total number of requests that downloaded an object from cloud storage,0,redpanda,cloud client downloads
redpanda.cloud.client_lease_duration,histogram,,,,Lease duration histogram.,0,redpanda,cloud client lease duration
redpanda.cloud.client_not_found,count,,,,Total number of requests for which the object was not found,-1,redpanda,cloud client not found
redpanda.cloud.client_num_borrows,count,,,,Count of instances where a shard borrowed an object storage client from another shard.,0,redpanda,cloud storage number of borrowed reads
redpanda.cloud.client_upload_backoff,count,,,,Total number of upload requests that backed off,-1,redpanda,cloud client upload backoff
redpanda.cloud.client_uploads,count,,,,Total number of requests that uploaded an object to cloud storage,0,redpanda,cloud client uploads
redpanda.cloud.storage.active_segments,gauge,,,,Number of remote log segments that are currently hydrated and available for read operations,0,redpanda,cloud storage active segments
redpanda.cloud.storage.cache_op_hit,count,,,,Number of get requests for objects that are already in cache.,0,redpanda,cloud storage cache op hit
redpanda.cloud.storage.op_in_progress_files,gauge,,,,Number of files currently being written to the cache.,0,redpanda,cloud storage op in progress files
redpanda.cloud.storage.cache_op_miss,count,,,,Number of get requests that are not satisfied from the cache.,-1,redpanda,cloud storage cache op miss
