metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name
riak_repl.server_bytes_sent,gauge,,byte,,Total number of bytes the primary has sent,-1,riak_mdc_replication,server bytes sent
riak_repl.server_bytes_recv,gauge,,byte,,Total number of bytes the primary has received,-1,riak_mdc_replication,server bytes recv
riak_repl.server_connects,gauge,,connection,,Number of times the primary connects to the client sink,-1,riak_mdc_replication,server connects
riak_repl.server_connect_errors,gauge,,error,,The number of listener to site connection errors,-1,riak_mdc_replication,server connect errors
riak_repl.server_fullsyncs,gauge,,occurrence,,Number of fullsync operations since the server was started,-1,riak_mdc_replication,server fullsyncs
riak_repl.client_bytes_sent,gauge,,byte,,Total number of bytes sent to all connected secondaries,-1,riak_mdc_replication,client bytes sent
riak_repl.client_bytes_recv,gauge,,byte,,Total number of bytes the client has received since the server has been started,-1,riak_mdc_replication,client bytes recv
riak_repl.client_connects,gauge,,connection,,Total number of sink connections made to this node,-1,riak_mdc_replication,client connects
riak_repl.client_connect_errors,gauge,,connection,,Total number of sink connection errors to this node,-1,riak_mdc_replication,client connect errors
riak_repl.client_redirect,gauge,,connection,,Count of client connects to a non-leader node that are redirected to a leader node,-1,riak_mdc_replication,client redirect
riak_repl.objects_dropped_no_clients,gauge,,object,,Total number of objects dropped from a full realtime queue,-1,riak_mdc_replication,objects dropped no clients
riak_repl.objects_dropped_no_leader,gauge,,object,,Total number of objects dropped by a sink with no leader,-1,riak_mdc_replication,objects dropped no leader
riak_repl.objects_sent,gauge,,object,,Total number of objects sent via realtime replication,-1,riak_mdc_replication,objects sent
riak_repl.objects_forwarded,gauge,,object,,Total number of objects forwarded to the leader,-1,riak_mdc_replication,objects forwarded
riak_repl.elections_elected,gauge,,occurrence,,Total number of times a new leader has been elected,-1,riak_mdc_replication,elections elected
riak_repl.elections_leader_changed,gauge,,occurrence,,Total number of times a Riak node has surrendered leadership,-1,riak_mdc_replication,elections leader changed
riak_repl.rt_source_errors,gauge,,error,,Total number of source errors detected on the source node,-1,riak_mdc_replication,rt source errors
riak_repl.rt_sink_errors,gauge,,error,,Total number of sink errors detected on the source node,-1,riak_mdc_replication,rt sink errors
