metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name,curated_metric
scalr.environments.count,gauge,,unit,,The number of created environments,,,,
scalr.workspaces.count,gauge,,unit,,The number of workspaces,,,,
scalr.runs.count,gauge,,unit,,The number of runs,,,,
scalr.runs.successful,gauge,,unit,,The number of successful runs,,,,
scalr.runs.failed,gauge,,unit,,The number of failed runs,,,,
scalr.runs.awaiting_confirmation,gauge,,unit,,The number of runs awaiting confirmation,,,,
scalr.runs.concurrency,gauge,,unit,,The number of current concurrent runs,,,,
scalr.runs.queue_size,gauge,,unit,,The number of runs in a queue,,,,
scalr.quota.max_concurrency,gauge,,unit,,The number of maximum parallel runs,,,,
scalr.billing.runs.count,gauge,,unit,,The number of billing runs,,,,
scalr.billing.run_minutes.count,gauge,,unit,,The number of billing minutes,,,,
scalr.billing.flex_runs.count,gauge,,unit,,The number of billing flex runs,,,,
scalr.billing.flex_run_minutes.count,gauge,,unit,,The number of billing flex runs minutes,,,,
