metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name,curated_metric
scaphandre.host.cpu.frequency,gauge,,,,,0,scaphandre,scaphandre host freq,
scaphandre.host.disk.available,gauge,,byte,,Available disk space on the host,0,scaphandre,host disk available,
scaphandre.host.disk.total,gauge,,byte,,Total disk space on the host,0,scaphandre,host disk total,
scaphandre.host.energy.count,count,,,,Energy count on the host,0,scaphandre,host energy count,
scaphandre.host.load.avg.15,gauge,,percent,,15-minute average system load on the host,0,scaphandre,host load avg 15,
scaphandre.host.load.avg.1,gauge,,percent,,1-minute average system load on the host,0,scaphandre,host load avg 1,
scaphandre.host.load.avg.5,gauge,,percent,,5-minute average system load on the host,0,scaphandre,host load avg 5,
scaphandre.host.memory.available,gauge,,byte,,Available memory on the host,0,scaphandre,host memory available,
scaphandre.host.memory.free,gauge,,byte,,Free memory on the host,0,scaphandre,host memory free,
scaphandre.host.memory.total,gauge,,byte,,Total memory on the host,0,scaphandre,host memory total,
scaphandre.host.power,gauge,,watt,,Power consumption of the host,0,scaphandre,host power,
scaphandre.host.swap.free,gauge,,byte,,Free swap space on the host,0,scaphandre,host swap free,
scaphandre.host.swap.total,gauge,,byte,,Total swap space on the host,0,scaphandre,host swap total,
scaphandre.process.cpu_usage.pct,gauge,,percent,,CPU usage percentage of the process,0,scaphandre,process cpu usage pct,
scaphandre.process.disk.read,gauge,,byte,,Disk read for the process,0,scaphandre,process disk read,
scaphandre.process.disk.total_read,gauge,,byte,,Total disk read for the process,0,scaphandre,process disk total read,
scaphandre.process.disk.total_write,gauge,,byte,,Total disk write for the process,0,scaphandre,process disk total write,
scaphandre.process.disk.write,gauge,,byte,,Disk write for the process,0,scaphandre,process disk write,
scaphandre.process.memory.virtual,gauge,,byte,,Virtual memory used by the process,0,scaphandre,process memory virtual,
scaphandre.process.memory,gauge,,byte,,Memory used by the process,0,scaphandre,process memory,
scaphandre.process.power_consumption,gauge,,watt,,Power consumption of the process,0,scaphandre,process power consumption,
scaphandre.self.memory.virtual,gauge,,byte,,Virtual memory used by scaphandre itself,0,scaphandre,self memory virtual,
scaphandre.self.memory,gauge,,byte,,Memory used by scaphandre itself,0,scaphandre,self memory,
scaphandre.self.socket_records,gauge,,,,Socket records collected by scaphandre,0,scaphandre,self socket records,
scaphandre.self.socket_stats,gauge,,,,Socket statistics collected by scaphandre,0,scaphandre,self socket stats,
scaphandre.self.topo_procs,gauge,,,,Topology processes recorded by scaphandre,0,scaphandre,self topo procs,
scaphandre.self.topo_records,gauge,,,,Topology records collected by scaphandre,0,scaphandre,self topo records,
scaphandre.self.topo_stats,gauge,,,,Topology statistics collected by scaphandre,0,scaphandre,self topo stats,
