metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name,curated_metric
sortdb.stats.total_requests,gauge,,task,,Total number of requests,0,sortdb,,
sortdb.stats.total_seeks,gauge,,task,,Total number of seeks,0,sortdb,,
sortdb.stats.get_requests,gauge,,task,,Total number of get requests,0,sortdb,,
sortdb.stats.get_hits,gauge,,task,,Total number of get hits,0,sortdb,,
sortdb.stats.get_misses,gauge,,task,,Total number of get misses,-1,sortdb,,
sortdb.stats.get_requests.avg,gauge,,microsecond,,Average get requests received,0,sortdb,,
sortdb.stats.get_requests.95percentile,gauge,,microsecond,,95th percentile of get requests received,0,sortdb,,
sortdb.stats.get_requests.99percentile,gauge,,microsecond,,99th percentile of get requests,0,sortdb,,
sortdb.stats.mget_requests,gauge,,task,,Total number of mget requests,0,sortdb,,
sortdb.stats.mget_hits,gauge,,task,,Total number of mget hits,0,sortdb,,
sortdb.stats.mget_misses,gauge,,task,,Total number of mget misses,-1,sortdb,,
sortdb.stats.mget_requests.avg,gauge,,microsecond,,Average mget requests,0,sortdb,,
sortdb.stats.mget_requests.95percentile,gauge,,microsecond,,95th percentile of mget requests,0,sortdb,,
sortdb.stats.mget_requests.99percentile,gauge,,microsecond,,99th percentile of mget requests,0,sortdb,,
sortdb.stats.fwmatch_requests,gauge,,task,,Total number of fwmatch requests,0,sortdb,,
sortdb.stats.fwmatch_hits,gauge,,task,,Total number of fwmatch hits,0,sortdb,,
sortdb.stats.fwmatch_misses,gauge,,task,,Total number of fwmatch misses,-1,sortdb,,
sortdb.stats.fwmatch_requests.avg,gauge,,task,,Average fwmatch requests,0,sortdb,,
sortdb.stats.fwmatch_requests.95percentile,gauge,,task,,95th percentile of fwmatch requests,0,sortdb,,
sortdb.stats.fwmatch_requests.99percentile,gauge,,task,,99th percentile of fwmatch requests,0,sortdb,,
sortdb.stats.range_requests,gauge,,task,,Total number of range requests,0,sortdb,,
sortdb.stats.range_hits,gauge,,task,,Total number of range hits,0,sortdb,,
sortdb.stats.range_misses,gauge,,task,,Total number of range misses,-1,sortdb,,
sortdb.stats.range_requests.avg,gauge,,microsecond,,Average range requests,0,sortdb,,
sortdb.stats.range_requests.95percentile,gauge,,microsecond,,95th percentile of range requests,0,sortdb,,
sortdb.stats.range_requests.99percentile,gauge,,microsecond,,99th percentile of range requests,0,sortdb,,
sortdb.stats.db_size.bytes,gauge,,byte,,db size in bytes,0,sortdb,,
sortdb.stats.db_mtime,gauge,,time,,db up time in ms,1,sortdb,,
