metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name,curated_metric
speedtest.ping.jitter,gauge,,millisecond,,Jitter in milliseconds,-1,speedtest,jitter,
speedtest.ping.latency,gauge,,millisecond,,Latency in milliseconds,-1,speedtest,latency,
speedtest.download.bandwidth,gauge,,mebibyte,second,Download bandwidth in mebibytes per second,1,speedtest,download_bandwidth,
speedtest.download.bandwidth.bit_per_sec,gauge,,bit,second,Download bandwidth in bits per second,1,speedtest,download_bandwidth,
speedtest.download.bandwidth.byte_per_sec,gauge,,byte,second,Download bandwidth in bytes per second,1,speedtest,download_bandwidth,
speedtest.download.bytes,gauge,,byte,,Download test payload size in bytes,1,speedtest,download_bytes,
speedtest.download.elapsed,gauge,,millisecond,,Download test elapsed time in milliseconds,0,speedtest,download_elapsed,
speedtest.upload.bandwidth,gauge,,mebibyte,second,Upload bandwidth in mebibytes per second,1,speedtest,upload_bandwidth,
speedtest.upload.bandwidth.bit_per_sec,gauge,,bit,second,Upload bandwidth in bits per second,1,speedtest,upload_bandwidth,
speedtest.upload.bandwidth.byte_per_sec,gauge,,byte,second,Upload bandwidth in bytes per second,1,speedtest,upload_bandwidth,
speedtest.upload.bytes,gauge,,byte,,Upload test payload size in bytes,1,speedtest,upload_bytes,
speedtest.upload.elapsed,gauge,,millisecond,,Upload test elapsed time in milliseconds,0,speedtest,upload_elapsed,
speedtest.packet_loss,gauge,,percent,,Percentage of packet loss for this test,0,speedtest,packet_loss,
