metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name,curated_metric,sample_tags
spicedb.application.cache.cost_added.count,count,,byte,,Cost of entries added to the cache,0,spicedb,spicedb.application.cache.cost_added.count,,
spicedb.application.cache.cost_evicted.count,count,,byte,,Cost of entries evicted from the cache,0,spicedb,spicedb.application.cache.cost_evicted.count,,
spicedb.application.cache.hits.count,count,,hit,,Number of cache hits,1,spicedb,spicedb.application.cache.hits.count,,
spicedb.application.cache.misses.count,count,,miss,,Number of cache misses,-1,spicedb,spicedb.application.cache.misses.count,,
spicedb.application.datastore.hedgeable_requests.count,count,,request,,Total number of datastore requests which are eligible for hedging,0,spicedb,spicedb.application.datastore.hedgeable_requests.count,,
spicedb.application.datastore.hedged_requests.count,count,,request,,Total number of requests which have been hedged,0,spicedb,spicedb.application.datastore.hedged_requests.count,,
spicedb.application.dispatch_client.check_from_cache.count,count,,request,,Total number of Check dispatches served by the cache,1,spicedb,spicedb.application.dispatch_client.check_from_cache.count,,
spicedb.application.dispatch_client.check.count,count,,request,,Total number of Check dispatches,0,spicedb,spicedb.application.dispatch_client.check.count,,
spicedb.application.dispatch_client.lookup_resources_from_cache.count,count,,request,,Total number of LookupResources dispatches served from the cache,1,spicedb,spicedb.application.dispatch_client.lookup_resources_from_cache.count,,
spicedb.application.dispatch_client.lookup_resources.count,count,,request,,Total number of LookupResources dispatches,0,spicedb,spicedb.application.dispatch_client.lookup_resources.count,,
spicedb.application.dispatch_client.lookup_subjects_from_cache.count,count,,request,,Total number of LookupSubjects dispatches served from the cache,1,spicedb,spicedb.application.dispatch_client.lookup_subjects_from_cache.count,,
spicedb.application.dispatch_client.lookup_subjects.count,count,,request,,Total number of LookupSubjects dispatches,0,spicedb,spicedb.application.dispatch_client.lookup_subjects.count,,
spicedb.application.dispatch_client.reachable_resources_from_cache.count,count,,resource,,Total number of ReachableResources dispatches served from the cache,1,spicedb,spicedb.application.dispatch_client.reachable_resources_from_cache.count,,
spicedb.application.dispatch_client.reachable_resources.count,count,,resource,,Total number of ReachableResources dispatches,0,spicedb,spicedb.application.dispatch_client.reachable_resources.count,,
spicedb.grpc.server.handled.count,count,,request,,"Total number of RPCs completed on the server, regardless of success or failure.",0,spicedb,spicedb.grpc.server.handled.count,,
spicedb.grpc.server.msg_received.count,count,,message,,Total number of RPC stream messages received on the server.,0,spicedb,spicedb.grpc.server.msg_received.count,,
spicedb.grpc.server.msg_sent.count,count,,message,,Total number of gRPC stream messages sent by the server.,0,spicedb,spicedb.grpc.server.msg_sent.count,,
spicedb.grpc.server.started.count,count,,request,,Total number of RPCs started on the server.,0,spicedb,spicedb.grpc.server.started.count,,
spicedb.process.cpu.seconds.count,count,,second,,Total user and system CPU time spent in seconds.,0,spicedb,spicedb.process.cpu.seconds.count,,
spicedb.application.datastore.watching_schema_cache.caveats_fallback_mode,gauge,,,,Value of 1 if the cache is in fallback mode and 0 otherwise,0,spicedb,spicedb.application.datastore.watching_schema_cache.caveats_fallback_mode,,
spicedb.application.datastore.watching_schema_cache.namespaces_fallback_mode,gauge,,,,Value of 1 if the cache is in fallback mode and 0 otherwise,0,spicedb,spicedb.application.datastore.watching_schema_cache.namespaces_fallback_mode,,
spicedb.application.datastore.watching_schema_cache.tracked_revision,gauge,,,,The currently tracked max revision for the schema cache,0,spicedb,spicedb.application.datastore.watching_schema_cache.tracked_revision,,
spicedb.process.virtual_memory_bytes,gauge,,byte,,Virtual memory size in bytes.,0,spicedb,spicedb.process.virtual_memory_bytes,,
spicedb.application.check.direct_dispatch_query_count,distribution,,query,,Number of queries made per direct dispatch,0,spicedb,spicedb.application.check.direct_dispatch_query_count,,
spicedb.application.check.dispatch_chunk_count,distribution,,,,Number of chunks when dispatching in check,0,spicedb,spicedb.application.check.dispatch_chunk_count,,
spicedb.application.datastore.crdb_watch_retries,distribution,,,,Watch retry distribution,0,spicedb,spicedb.application.datastore.crdb_watch_retries,,
spicedb.application.datastore.loaded_relationships_count,distribution,,payload,,Total number of relationships loaded for a query,0,spicedb,spicedb.application.datastore.loaded_relationships_count,,
spicedb.application.datastore.query_latency,distribution,,second,,Response latency for a database query,-1,spicedb,spicedb.application.datastore.query_latency,,
spicedb.application.datastore.spanner_watch_retries,distribution,,,,Watch retry distribution,0,spicedb,spicedb.application.datastore.spanner_watch_retries,,
spicedb.application.services.dispatches,distribution,,request,,Distribution of cluster dispatches performed by the instance.,0,spicedb,spicedb.application.services.dispatches,,
spicedb.grpc.server.handling_seconds,distribution,,second,,Distribution of response latency (seconds) of gRPC that had been application-level handled by the server.,-1,spicedb,spicedb.grpc.server.handling_seconds,,
