metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name
syncthing.connections.connected,gauge,,,,,0,syncthing,connected endpoints,
syncthing.connections.paused,gauge,,,,,0,syncthing,paused endpoints,
syncthing.connections.count,gauge,,,,,0,syncthing,endpoints count,
syncthing.folder.bytes,gauge,,,,,0,syncthing,,
syncthing.folder.errors,gauge,,,,,0,syncthing,,
syncthing.folder.files,gauge,,,,,0,syncthing,,
syncthing.folder.global.bytes,gauge,,,,,0,syncthing,,
syncthing.folder.global.deleted,gauge,,,,,0,syncthing,,
syncthing.folder.global.directories,gauge,,,,,0,syncthing,,
syncthing.folder.global.files,gauge,,,,,0,syncthing,,
syncthing.folder.global.total_items,gauge,,,,,0,syncthing,,
syncthing.folder.local.bytes,gauge,,,,,0,syncthing,,
syncthing.folder.local.deleted,gauge,,,,,0,syncthing,,
syncthing.folder.local.directories,gauge,,,,,0,syncthing,,
syncthing.folder.local.files,gauge,,,,,0,syncthing,,
syncthing.folder.local.total_items,gauge,,,,,0,syncthing,,
syncthing.folder.need.bytes,gauge,,,,,0,syncthing,,
syncthing.folder.need.deletes,gauge,,,,,0,syncthing,,
syncthing.folder.need.directories,gauge,,,,,0,syncthing,,
syncthing.folder.need.files,gauge,,,,,0,syncthing,,
syncthing.folder.need.total_items,gauge,,,,,0,syncthing,,
syncthing.folder.pull_errors,gauge,,,,,0,syncthing,,
syncthing.errors,gauge,,,,,0,syncthing,,
