metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name
tidb_cloud.db_queries_total,count,,query,,The total number of statements executed,1,tidb_cloud,
tidb_cloud.db_failed_queries_total,count,,query,,The total number of execution errors,1,tidb_cloud,
tidb_cloud.db_connections,gauge,,connection,,Current number of connections in TiDB server,1,tidb_cloud,
tidb_cloud.db_query_duration_seconds.count,count,,query,,The total number of handled queries in server,1,tidb_cloud,
tidb_cloud.db_query_duration_seconds.sum,count,,second,,The sum of handled query duration in server,1,tidb_cloud,
tidb_cloud.storage_used_bytes,gauge,,byte,,The disk usage bytes of TiKV/TiFlash instances,1,tidb_cloud,
tidb_cloud.storage_capacity_bytes,gauge,,byte,,The disk capacity bytes of TiKV/TiFlash instances,1,tidb_cloud,
tidb_cloud.storate_tikv_io_bytes_total,count,,byte,,The io sum of read/write bytes of TiKV instances,1,tidb_cloud,
tidb_cloud.process_cpu_seconds_total,count,,second,,The cpu usage seconds of TiDB/TiKV/TiFlash instances,1,tidb_cloud,
tidb_cloud.process_cpu_capacity_cores,gauge,,core,,The cpu limit cores of TiDB/TiKV/TiFlash instances,1,tidb_cloud,
tidb_cloud.process_memory_used_bytes,gauge,,byte,,The resident memory bytes of TiDB/TiKV/TiFlash instances,1,tidb_cloud,
tidb_cloud.process_memory_capacity_bytes,gauge,,byte,,The memory limit bytes of TiDB/TiKV/TiFlash instances,1,tidb_cloud,
