metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name,curated_metric
unbound.thread.num.queries,count,,query,,The number of queries received by thread,1,unbound,thread.num.queries,
unbound.thread.num.queries_ip_ratelimited,count,,query,,The number of queries rate limited by thread,1,unbound,thread.num.queries_ip_ratelimited,
unbound.thread.num.cachehits,count,,query,,The number of queries that were successfully answered using a cache lookup,1,unbound,thread.num.cachehits,
unbound.thread.num.cachemiss,count,,query,,The number of queries that needed recursive processing,1,unbound,thread.num.cachemiss,
unbound.thread.num.dnscrypt.crypted,count,,query,,The number of queries that were encrypted and successfully decapsulated by dnscrypt,1,unbound,thread.num.dnscrypt.cert,
unbound.thread.num.dnscrypt.cert,count,,query,,The number of queries that were requesting dnscrypt certificates,1,unbound,thread.num.dnscrypt.cert,
unbound.thread.num.dnscrypt.cleartext,count,,query,,The number of queries received on dnscrypt port that were cleartext and not a request for certificates,1,unbound,thread.num.dnscrypt.cleartext,
unbound.thread.num.dnscrypt.malformed,count,,request,,The number of requests that were neither cleartext nor valid dnscrypt messages,1,unbound,thread.num.dnscrypt.malformed,
unbound.thread.num.prefetch,count,,,,The number of cache prefetches performed,1,unbound,thread.num.prefetch,
unbound.thread.num.zero_ttl,count,,response,,The number of replies with ttl zero because they served an expired cache entry,1,unbound,thread.num.zero_ttl,
unbound.thread.num.recursivereplies,count,,response,,The number of replies sent to queries that needed recursive processing,1,unbound,thread.num.recursivereplies,
unbound.thread.requestlist.avg,gauge,,request,,The average number of requests in the internal recursive processing request list on insert of a new incoming recursive processing query,0,unbound,thread.requestlist.avg,
unbound.thread.requestlist.max,gauge,,request,,Maximum size attained by the internal recursive processing request list,1,unbound,thread.requestlist.max,
unbound.thread.requestlist.overwritten,count,,request,,The number of requests in the request list that were overwritten by newer entries,1,unbound,thread.requestlist.overwritten,
unbound.thread.requestlist.exceeded,gauge,,query,,Queries that were dropped because the request list was full,1,unbound,thread.requestlist.exceeded,
unbound.thread.requestlist.current.all,gauge,,request,,Current size of the request list,0,unbound,thread.requestlist.current,
unbound.thread.requestlist.current.user,gauge,,request,,Current size of the request list (only the requests from client queries),0,unbound,thread.requestlist.current.user,
unbound.thread.recursion.time.avg,gauge,,second,,Average time it took to answer queries that needed recursive processing,0,unbound,thread.recursion.time.avg,
unbound.thread.recursion.time.median,gauge,,second,,The median of the time it took to answer queries that needed recursive processing,0,unbound,thread.recursion.time.median,
unbound.thread.tcpusage,gauge,,buffer,,The currently held tcp buffers for incoming connections,0,unbound,thread.tcpusage,
unbound.total.num.queries,count,,query,,The total number of queries summed over threads,1,unbound,total.num.queries,
unbound.total.num.cachehits,count,,hit,,The total number of cache hits summed over threads,1,unbound,total.num.cachehits,
unbound.total.num.cachemiss,count,,miss,,The total number of cache misses summed over threads,1,unbound,total.num.cachemiss,
unbound.total.num.dnscrypt.crypted,count,,query,,The total number of dnscrypt crypted summed over threads,1,unbound,total.num.dnscrypt.crypted,
unbound.total.num.dnscrypt.cert,count,,query,,The total number of dnscrypt cert summed over threads,1,unbound,total.num.dnscrypt.cert,
unbound.total.num.dnscrypt.cleartext,count,,query,,The total number of dnscrypt cleartext summed over threads,1,unbound,total.num.dnscrypt.cleartext,
unbound.total.num.dnscrypt.malformed,count,,request,,The total number of dnscrypt malformed summed over threads,1,unbound,total.num.dnscrypt.malformed,
unbound.total.num.prefetch,count,,,,The total number of prefetch summed over threads,1,unbound,total.num.prefetch,
unbound.total.num.zero_ttl,count,,response,,The total number of zero ttl summed over threads,1,unbound,total.num.zero_ttl,
unbound.total.num.recursivereplies,count,,response,,The total number of recursive replies summed over threads,1,unbound,total.num.recursivereplies,
unbound.total.requestlist.avg,gauge,,request,,The total number of requests averaged over threads,0,unbound,total.requestlist.avg,
