metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name,curated_metric
uxp.certwatcher_read_certificate_errors_total,count,,,,1,upbound_uxp,00001,
uxp.certwatcher_read_certificate_total,count
uxp.controller_runtime_active_workers,gauge
uxp.controller_runtime_max_concurrent_reconciles,gauge
uxp.controller_runtime_reconcile_errors_total,count
uxp.controller_runtime_reconcile_time_seconds_bucket,histogram
uxp.controller_runtime_reconcile_time_seconds_count,count
uxp.controller_runtime_reconcile_time_seconds_sum,count
uxp.controller_runtime_reconcile_total,count
uxp.datadog_agent_checks,count
uxp.go_goroutines,gauge
uxp.go_memstats_alloc_bytes,gauge
uxp.go_memstats_alloc_bytes_total,count
uxp.go_memstats_buck_hash_sys_bytes,gauge
uxp.go_memstats_frees_total,count
uxp.go_memstats_gc_sys_bytes,gauge
uxp.go_memstats_heap_alloc_bytes,gauge
uxp.go_memstats_heap_idle_bytes,gauge
uxp.go_memstats_heap_inuse_bytes,gauge
uxp.go_memstats_heap_objects,gauge
uxp.go_memstats_heap_released_bytes,gauge
uxp.go_memstats_mcache_inuse_bytes,gauge
uxp.go_memstats_mspan_inuse_bytes,gauge
uxp.go_memstats_mspan_sys_bytes,gauge
uxp.go_memstats_next_gc_bytes,gauge
uxp.go_memstats_next_gc_bytes,gauge
uxp.go_memstats_other_sys_bytes,gauge
uxp.go_memstats_stack_inuse_bytes,gauge
uxp.go_memstats_stack_sys_bytes,gauge
uxp.go_memstats_sys_bytes,gauge
uxp.go_threads,gauge
uxp.leader_election_master_status,gauge
uxp.process_cpu_seconds_total,count
uxp.process_max_fds,gauge
uxp.process_resident_memory_bytes,gauge
uxp.process_start_time_seconds,gauge
uxp.process_virtual_memory_max_bytes,gauge
uxp.rest_client_requests_total,count
uxp.upjet_terraform_active_cli_invocations,gauge
uxp.upjet_terraform_running_processes,gauge
uxp.workqueue_adds_total,count
uxp.workqueue_depth,gauge
uxp.workqueue_work_duration_seconds_bucket,histogram
uxp.workqueue_work_duration_seconds_count,count
uxp.workqueue_work_duration_seconds_sum,count
